ticker,environmentScore,socialScore,governanceScore
AAPL,0.46,7.39,9.37
MSFT,1.46,7.53,6.07
NVDA,2.3,4.95,6.34
GOOGL,1.56,11.16,11.51
AMZN,6.0,15.39,9.22
META,2.71,21.09,10.29
LLY,2.54,12.6,9.14
AVGO,7.34,6.0,6.64
TSLA,3.31,14.08,7.85
JPM,1.11,16.45,11.7
WMT,5.86,12.36,7.05
UNH,0.03,9.67,5.59
XOM,23.11,10.01,8.48
V,1.81,8.22,6.65
MA,2.15,6.66,8.27
PG,9.6,12.23,6.74
JNJ,0.92,15.02,8.03
COST,6.52,11.22,5.55
ORCL,0.5,7.79,5.6
HD,3.32,5.56,3.76
ABBV,2.38,17.19,10.36
KO,7.23,9.54,4.86
BAC,1.73,15.09,11.48
MRK,1.85,10.64,8.9
CVX,17.01,9.18,10.42
NFLX,0.09,7.31,9.01
PEP,7.27,9.63,5.16
CRM,2.01,7.48,5.39
ADBE,1.94,5.99,5.15
TMO,1.44,4.89,6.47
TMUS,4.19,13.38,7.07
ACN,0.82,4.61,4.41
MCD,7.56,12.56,5.84
ABT,2.27,14.24,8.33
DHR,1.35,5.16,5.35
CSCO,0.45,6.9,6.51
PM,3.42,13.54,11.49
WFC,2.05,14.75,19.43
GE,14.24,15.41,10.9
