Date,Open,High,Low,Close,Adj Close,Volume,company
2023-07-20,31.33,31.799999,31.26,31.690001,30.773975,42128800,Bank
2023-07-21,31.870001,32.110001,31.42,31.98,31.055593,70813600,Bank
2023-07-24,32.0,32.849998,31.98,32.650002,31.706224,64548600,Bank
2023-07-25,32.759998,32.790001,32.07,32.150002,31.220678,51208800,Bank
2023-07-26,32.240002,32.540001,32.150002,32.41,31.47316,41814600,Bank
2023-07-27,32.43,32.740002,31.82,31.950001,31.026463,45529500,Bank
2023-07-28,32.150002,32.16,31.709999,31.9,30.977903,33296500,Bank
2023-07-31,31.9,32.25,31.780001,32.0,31.075014,29093400,Bank
2023-08-01,31.84,31.940001,31.42,31.620001,30.705999,32712000,Bank
2023-08-02,31.16,31.280001,30.780001,31.190001,30.288429,38855100,Bank
2023-08-03,30.940001,31.549999,30.879999,31.41,30.502068,27933400,Bank
2023-08-04,31.360001,31.67,31.17,31.299999,30.395247,30755100,Bank
2023-08-07,31.41,31.9,31.41,31.879999,30.958481,31745200,Bank
2023-08-08,31.299999,31.309999,30.48,31.27,30.366117,45951800,Bank
2023-08-09,31.219999,31.280001,30.83,30.860001,29.967968,30732100,Bank
2023-08-10,31.01,31.32,30.799999,30.940001,30.045652,26062600,Bank
2023-08-11,30.799999,31.4,30.75,31.290001,30.385536,35709900,Bank
2023-08-14,31.049999,31.110001,30.75,30.93,30.035942,32563700,Bank
2023-08-15,30.5,30.549999,29.84,29.940001,29.074562,43406100,Bank
2023-08-16,29.75,29.84,29.209999,29.290001,28.443348,47220400,Bank
2023-08-17,29.440001,29.540001,29.110001,29.280001,28.433638,37202200,Bank
2023-08-18,29.040001,29.35,28.98,29.110001,28.268553,31418000,Bank
2023-08-21,29.219999,29.299999,28.799999,29.15,28.307396,34959000,Bank
2023-08-22,29.129999,29.24,28.42,28.440001,27.61792,37586400,Bank
2023-08-23,28.450001,28.51,28.18,28.450001,27.62763,44686600,Bank
2023-08-24,28.4,28.790001,28.370001,28.620001,27.792717,31934800,Bank
2023-08-25,28.639999,28.790001,28.299999,28.5,27.676186,34253200,Bank
2023-08-28,28.690001,29.0,28.57,28.76,27.928671,33075200,Bank
2023-08-29,28.889999,29.26,28.719999,29.17,28.326817,30428200,Bank
2023-08-30,29.219999,29.27,28.93,29.040001,28.200577,33366400,Bank
2023-08-31,28.93,28.969999,28.530001,28.67,28.073282,37243000,Bank
2023-09-01,28.76,29.129999,28.76,28.98,28.376829,35192000,Bank
2023-09-05,28.940001,29.120001,28.5,28.65,28.053698,46543600,Bank
2023-09-06,28.4,28.559999,28.120001,28.389999,27.79911,45022600,Bank
2023-09-07,28.41,28.549999,28.059999,28.129999,27.544521,35023600,Bank
2023-09-08,28.120001,28.379999,27.959999,28.360001,27.769735,36513900,Bank
2023-09-11,28.51,28.76,28.4,28.48,27.887236,34168300,Bank
2023-09-12,28.459999,29.139999,28.4,28.969999,28.367039,42284000,Bank
2023-09-13,29.120001,29.190001,28.700001,28.879999,28.27891,37215700,Bank
2023-09-14,29.17,29.440001,29.1,29.200001,28.592253,44634800,Bank
2023-09-15,28.950001,29.09,28.75,28.84,28.239742,61166000,Bank
2023-09-18,28.799999,28.799999,28.49,28.76,28.161411,25752300,Bank
2023-09-19,28.76,28.940001,28.51,28.65,28.053698,34888100,Bank
2023-09-20,28.809999,28.969999,28.530001,28.549999,27.955778,26641100,Bank
2023-09-21,28.360001,28.59,28.02,28.049999,27.466185,39861300,Bank
2023-09-22,28.07,28.190001,27.6,27.639999,27.06472,41284400,Bank
2023-09-25,27.5,27.620001,27.35,27.6,27.025553,32749200,Bank
2023-09-26,27.34,27.5,27.01,27.17,26.604502,42237400,Bank
