Date,Open,High,Low,Close,Adj Close,Volume,company
2023-07-20,455.149994,465.220001,455.0,463.820007,460.381226,2624200,Eli_Lilly
2023-07-21,465.410004,467.040009,461.970001,462.040009,458.614441,2226700,Eli_Lilly
2023-07-24,462.0,465.640015,457.670013,459.320007,455.914612,2190700,Eli_Lilly
2023-07-25,457.76001,460.920013,456.600006,457.540009,454.147766,1737800,Eli_Lilly
2023-07-26,455.0,455.0,446.559998,453.589996,450.227081,1959800,Eli_Lilly
2023-07-27,453.320007,458.679993,452.25,454.98999,451.616699,1883500,Eli_Lilly
2023-07-28,455.130005,459.570007,451.779999,458.480011,455.080841,1437600,Eli_Lilly
2023-07-31,459.019989,459.019989,450.799988,454.549988,451.179962,2110200,Eli_Lilly
2023-08-01,455.350006,457.369995,451.450012,453.089996,449.730774,1738200,Eli_Lilly
2023-08-02,455.230011,461.640015,451.320007,454.480011,451.110474,2366600,Eli_Lilly
2023-08-03,450.779999,454.100006,448.26001,449.160004,445.829926,2414100,Eli_Lilly
2023-08-04,449.23999,452.470001,446.890015,449.48999,446.157471,1869800,Eli_Lilly
2023-08-07,453.25,455.0,450.579987,454.079987,450.713409,2446400,Eli_Lilly
2023-08-08,506.0,538.0,502.709991,521.599976,517.732849,15094500,Eli_Lilly
2023-08-09,520.369995,532.530029,516.890015,526.22998,522.328552,5376600,Eli_Lilly
2023-08-10,523.469971,528.73999,519.98999,521.340027,517.474792,4108500,Eli_Lilly
2023-08-11,523.719971,531.809998,520.0,528.280029,524.363342,2523500,Eli_Lilly
2023-08-14,531.280029,542.299988,529.25,538.0,535.155945,3981100,Eli_Lilly
2023-08-15,537.72998,547.289978,533.780029,546.619995,543.730408,2826800,Eli_Lilly
2023-08-16,547.400024,552.869995,542.5,546.23999,543.352417,2597100,Eli_Lilly
2023-08-17,543.210022,548.799988,537.390015,537.659973,534.817749,2549900,Eli_Lilly
2023-08-18,535.030029,547.77002,533.900024,546.429993,543.541382,2957800,Eli_Lilly
2023-08-21,546.98999,553.5,545.75,550.049988,547.142212,2305400,Eli_Lilly
2023-08-22,549.530029,556.099976,547.280029,553.659973,550.733154,1937100,Eli_Lilly
2023-08-23,556.719971,557.400024,548.210022,553.359985,550.434692,2121300,Eli_Lilly
2023-08-24,552.700012,556.97998,547.299988,548.0,545.103149,1776700,Eli_Lilly
2023-08-25,549.630005,556.099976,547.080017,553.650024,550.723206,1847600,Eli_Lilly
2023-08-28,550.130005,556.22998,550.119995,553.919983,550.99176,1373700,Eli_Lilly
2023-08-29,553.450012,556.349976,549.859985,553.900024,550.971924,1701200,Eli_Lilly
2023-08-30,555.01001,557.75,547.039978,547.98999,545.09314,2191100,Eli_Lilly
2023-08-31,547.02002,557.409973,543.0,554.200012,551.270325,3043400,Eli_Lilly
2023-09-01,556.320007,559.210022,553.51001,557.109985,554.164917,2030000,Eli_Lilly
2023-09-05,559.22998,561.929993,556.710022,558.190002,555.239258,2257200,Eli_Lilly
2023-09-06,561.02002,561.590027,552.700012,559.950012,556.989929,2424300,Eli_Lilly
2023-09-07,564.190002,576.309998,562.619995,573.22998,570.199707,3707100,Eli_Lilly
2023-09-08,572.330017,587.549988,571.219971,586.460022,583.359802,4308300,Eli_Lilly
2023-09-11,587.150024,598.159973,584.47998,595.559998,592.411682,3876500,Eli_Lilly
2023-09-12,590.969971,601.130005,587.849976,599.299988,596.131897,3212100,Eli_Lilly
2023-09-13,594.659973,600.75,591.700012,598.880005,595.714172,3126600,Eli_Lilly
2023-09-14,599.23999,601.840027,590.01001,591.609985,588.482544,3244800,Eli_Lilly
2023-09-15,592.0,594.059998,575.059998,575.659973,572.616821,5938300,Eli_Lilly
2023-09-18,578.0,578.0,564.409973,571.280029,568.260132,2723600,Eli_Lilly
2023-09-19,571.619995,578.409973,570.630005,574.960022,571.920593,2185100,Eli_Lilly
2023-09-20,573.419983,575.25,569.190002,569.640015,566.628662,1869900,Eli_Lilly
2023-09-21,567.190002,568.0,542.5,550.130005,547.221863,4049900,Eli_Lilly
2023-09-22,548.809998,555.48999,547.630005,550.539978,547.629639,2353800,Eli_Lilly
2023-09-25,550.099976,552.659973,545.75,552.289978,549.370422,1686500,Eli_Lilly
2023-09-26,550.700012,554.130005,548.0,550.01001,547.102478,1864300,Eli_Lilly
2023-09-27,549.890015,551.690002,543.669983,549.76001,546.853821,2004200,Eli_Lilly
2023-09-28,551.320007,551.679993,541.400024,544.450012,541.571838,2178800,Eli_Lilly
2023-09-29,545.48999,546.090027,532.200012,537.130005,534.290588,2967100,Eli_Lilly
2023-10-02,536.01001,540.640015,526.809998,538.289978,535.444458,2810100,Eli_Lilly
2023-10-03,536.0,537.340027,516.570007,525.190002,522.413635,3266100,Eli_Lilly
2023-10-04,525.559998,536.169983,523.630005,531.460022,528.650574,2220400,Eli_Lilly
2023-10-05,533.539978,542.5,531.609985,541.47998,538.617554,2950700,Eli_Lilly
2023-10-06,544.0,566.359985,542.710022,565.219971,562.232056,4743100,Eli_Lilly
2023-10-09,564.02002,579.789978,563.580017,571.76001,568.737488,4208100,Eli_Lilly
2023-10-10,570.0,585.950012,569.72998,579.309998,576.247559,3526700,Eli_Lilly
2023-10-11,596.200012,608.789978,585.01001,605.280029,602.080322,5850600,Eli_Lilly
2023-10-12,605.460022,613.0,602.200012,610.5,607.272705,4063500,Eli_Lilly
2023-10-13,617.890015,629.969971,602.559998,609.200012,605.979553,3963800,Eli_Lilly
2023-10-16,610.98999,621.97998,608.429993,616.640015,613.380249,2941500,Eli_Lilly
2023-10-17,619.0,620.400024,602.530029,608.309998,605.094299,2911700,Eli_Lilly
2023-10-18,607.23999,615.880005,603.23999,607.23999,604.029907,2049100,Eli_Lilly
2023-10-19,605.0,605.0,578.340027,590.799988,587.67688,3493700,Eli_Lilly
2023-10-20,590.0,596.919983,580.880005,584.640015,581.549438,3666500,Eli_Lilly
2023-10-23,586.059998,588.340027,576.140015,576.650024,573.601624,2781900,Eli_Lilly
2023-10-24,580.0,594.52002,579.109985,592.429993,589.298218,2633000,Eli_Lilly
2023-10-25,596.940002,599.700012,585.869995,586.460022,583.359802,2283300,Eli_Lilly
2023-10-26,580.0,581.0,566.159973,568.099976,565.096802,2846500,Eli_Lilly
2023-10-27,563.01001,570.809998,556.640015,560.22998,557.268433,2717400,Eli_Lilly
2023-10-30,571.210022,573.210022,562.549988,565.710022,562.719543,2290900,Eli_Lilly
2023-10-31,568.969971,569.609985,547.609985,553.929993,551.00177,3661400,Eli_Lilly
2023-11-01,555.0,558.429993,551.26001,554.460022,551.528992,2935900,Eli_Lilly
2023-11-02,578.330017,597.440002,571.98999,580.289978,577.222351,5181300,Eli_Lilly
2023-11-03,578.429993,583.0,567.179993,567.809998,564.808411,3055400,Eli_Lilly
2023-11-06,571.099976,597.710022,571.01001,595.190002,592.04364,3978500,Eli_Lilly
2023-11-07,597.0,601.940002,590.130005,599.929993,596.758545,3168200,Eli_Lilly
2023-11-08,607.659973,625.869995,592.179993,619.130005,615.857117,7776400,Eli_Lilly
2023-11-09,614.76001,615.650024,583.429993,591.320007,588.194092,6279800,Eli_Lilly
2023-11-10,595.0,598.859985,586.0,597.710022,594.550354,3645900,Eli_Lilly
2023-11-13,594.349976,618.75,578.150024,612.710022,609.471069,5744800,Eli_Lilly
2023-11-14,608.219971,616.039978,602.669983,610.820007,608.713684,3827600,Eli_Lilly
2023-11-15,610.880005,612.909973,584.419983,588.539978,586.510437,4287000,Eli_Lilly
2023-11-16,591.5,595.090027,581.75,588.75,586.719727,3030500,Eli_Lilly
2023-11-17,592.450012,596.179993,587.210022,591.710022,589.669617,2628200,Eli_Lilly
2023-11-20,591.440002,604.859985,590.690002,597.599976,595.539246,2827200,Eli_Lilly
2023-11-21,598.440002,601.559998,591.77002,592.599976,590.556458,1851600,Eli_Lilly
2023-11-22,595.400024,599.179993,586.75,595.090027,593.037964,2052200,Eli_Lilly
2023-11-24,598.359985,603.5,596.97998,601.099976,599.027161,1341700,Eli_Lilly
2023-11-27,601.169983,603.690002,591.140015,591.530029,589.490234,2630700,Eli_Lilly
2023-11-28,592.0,595.380005,589.359985,591.599976,589.559937,1793900,Eli_Lilly
2023-11-29,592.200012,594.539978,584.440002,591.859985,589.819031,1908600,Eli_Lilly
2023-11-30,591.460022,596.22998,586.210022,591.039978,589.001831,5658400,Eli_Lilly
2023-12-01,591.700012,601.969971,583.0,584.039978,582.026001,3635900,Eli_Lilly
2023-12-04,582.130005,587.090027,574.330017,585.679993,583.660339,2577100,Eli_Lilly
2023-12-05,583.280029,591.799988,579.369995,588.150024,586.121887,2157300,Eli_Lilly
2023-12-06,590.73999,593.900024,584.400024,589.25,587.218018,2093100,Eli_Lilly
2023-12-07,588.280029,588.869995,577.609985,588.27002,586.241455,2095000,Eli_Lilly
2023-12-08,589.0,598.299988,584.77002,598.049988,595.987671,2444600,Eli_Lilly
2023-12-11,598.659973,601.190002,567.409973,584.039978,582.026001,5614100,Eli_Lilly
2023-12-12,582.0,585.849976,578.169983,584.76001,582.743591,2846100,Eli_Lilly
2023-12-13,583.26001,598.669983,582.309998,597.5,595.439575,3112500,Eli_Lilly
2023-12-14,594.5,594.5,568.690002,573.669983,571.691772,5275900,Eli_Lilly
2023-12-15,572.099976,573.710022,561.650024,572.039978,570.067383,5315900,Eli_Lilly
2023-12-18,576.469971,583.049988,575.700012,579.76001,577.760803,3033900,Eli_Lilly
2023-12-19,580.25,585.109985,577.25,579.809998,577.810608,2192700,Eli_Lilly
2023-12-20,576.47998,579.859985,570.030029,570.210022,568.243713,2647100,Eli_Lilly
2023-12-21,571.409973,575.0,567.02002,572.0,570.027527,1786500,Eli_Lilly
2023-12-22,573.02002,575.900024,567.419983,570.390015,568.423096,2225600,Eli_Lilly
2023-12-26,569.5,572.77002,567.640015,570.669983,568.702087,1678700,Eli_Lilly
2023-12-27,570.5,583.679993,570.5,581.51001,579.504761,2163400,Eli_Lilly
2023-12-28,581.97998,586.690002,580.0,580.849976,578.847046,1973500,Eli_Lilly
2023-12-29,582.849976,586.169983,579.469971,582.919983,580.909851,1998000,Eli_Lilly
2024-01-02,580.409973,592.719971,579.049988,592.200012,590.157898,3226700,Eli_Lilly
2024-01-03,600.0,619.840027,598.799988,617.700012,615.569946,5130300,Eli_Lilly
2024-01-04,625.26001,636.409973,613.27002,614.5,612.380981,6272500,Eli_Lilly
2024-01-05,614.0,619.940002,610.190002,618.549988,616.417053,2402500,Eli_Lilly
2024-01-08,622.429993,626.059998,609.590027,626.030029,623.871277,2453900,Eli_Lilly
2024-01-09,630.109985,634.419983,623.719971,625.47998,623.323059,2918900,Eli_Lilly
2024-01-10,628.48999,637.049988,625.76001,630.190002,628.016846,2679100,Eli_Lilly
2024-01-11,634.390015,639.76001,628.140015,635.719971,633.527771,2690300,Eli_Lilly
2024-01-12,638.200012,644.0,633.01001,642.919983,640.702942,2066400,Eli_Lilly
2024-01-16,643.909973,647.72998,633.669983,634.570007,632.381775,2413600,Eli_Lilly
2024-01-17,639.450012,640.52002,625.190002,628.909973,626.741272,2124100,Eli_Lilly
2024-01-18,621.280029,623.880005,612.700012,623.349976,621.200439,3385000,Eli_Lilly
2024-01-19,622.390015,629.590027,620.0,628.580017,626.412476,3120500,Eli_Lilly
2024-01-22,630.0,632.640015,625.0,630.880005,628.704529,2030200,Eli_Lilly
2024-01-23,627.690002,630.0,614.820007,629.679993,627.508606,2525000,Eli_Lilly
2024-01-24,633.52002,643.169983,632.0,633.700012,631.514771,2276900,Eli_Lilly
2024-01-25,627.369995,632.609985,624.679993,627.619995,625.45575,2407900,Eli_Lilly
2024-01-26,637.349976,639.599976,630.5,639.25,637.045593,2410300,Eli_Lilly
2024-01-29,641.5,645.650024,639.77002,645.0,642.775818,2718500,Eli_Lilly
2024-01-30,645.700012,646.799988,641.0,644.97998,642.755859,2006100,Eli_Lilly
2024-01-31,650.380005,663.549988,637.0,645.609985,643.383667,4719000,Eli_Lilly
2024-02-01,647.330017,660.52002,643.169983,660.429993,658.152588,2494300,Eli_Lilly
2024-02-02,662.380005,672.619995,659.73999,667.650024,665.347717,3018000,Eli_Lilly
2024-02-05,691.02002,711.880005,682.530029,706.200012,703.764771,7602400,Eli_Lilly
2024-02-06,742.0,742.0,691.099976,705.030029,702.598877,8187300,Eli_Lilly
2024-02-07,710.380005,740.98999,707.02002,725.380005,722.878601,5798000,Eli_Lilly
2024-02-08,728.320007,741.0,725.75,735.679993,733.143066,4636900,Eli_Lilly
2024-02-09,735.5,745.700012,733.609985,740.159973,737.607605,2833900,Eli_Lilly
2024-02-12,740.799988,740.799988,726.450012,737.26001,734.717651,2932300,Eli_Lilly
2024-02-13,730.179993,742.97998,730.179993,742.969971,740.407959,2860300,Eli_Lilly
2024-02-14,745.820007,764.049988,745.0,757.309998,756.021362,3394300,Eli_Lilly
2024-02-15,755.799988,762.98999,750.01001,757.780029,756.490601,2507000,Eli_Lilly
2024-02-16,771.030029,794.469971,763.5,782.059998,780.729248,5000700,Eli_Lilly
2024-02-20,790.0,793.380005,753.200012,755.659973,754.374146,4701100,Eli_Lilly
2024-02-21,738.080017,749.5,733.23999,745.909973,744.640747,3548700,Eli_Lilly
2024-02-22,763.580017,775.119995,756.27002,769.640015,768.330383,3167400,Eli_Lilly
2024-02-23,774.0,777.650024,762.26001,769.539978,768.23053,2394800,Eli_Lilly
2024-02-26,771.299988,780.219971,769.119995,771.919983,770.606506,2243800,Eli_Lilly
2024-02-27,754.900024,772.950012,745.440002,765.0,763.698303,2716700,Eli_Lilly
2024-02-28,762.25,763.0,751.659973,757.640015,756.35083,2716300,Eli_Lilly
2024-02-29,753.080017,756.460022,744.030029,753.679993,752.397522,3905400,Eli_Lilly
2024-03-01,769.02002,784.080017,764.130005,782.119995,780.789124,4240500,Eli_Lilly
2024-03-04,796.440002,800.780029,786.159973,792.280029,790.931885,3855600,Eli_Lilly
2024-03-05,785.309998,788.530029,769.280029,777.590027,776.266907,3168700,Eli_Lilly
2024-03-06,784.289978,787.849976,774.0,779.77002,778.443176,2518600,Eli_Lilly
2024-03-07,771.840027,792.98999,761.119995,780.159973,778.832458,3977400,Eli_Lilly
2024-03-08,780.0,780.0,755.0,762.140015,760.84314,4042900,Eli_Lilly
2024-03-11,752.210022,756.799988,727.619995,734.369995,733.120422,3968900,Eli_Lilly
2024-03-12,740.960022,755.969971,738.01001,754.950012,753.665405,2701700,Eli_Lilly
2024-03-13,757.0,760.77002,745.710022,757.840027,756.550476,2357500,Eli_Lilly
2024-03-14,764.950012,768.0,749.400024,760.72998,759.435547,2647500,Eli_Lilly
2024-03-15,755.380005,760.890015,747.710022,754.169983,752.886719,3729300,Eli_Lilly
2024-03-18,762.280029,769.679993,758.25,762.659973,761.362244,2521400,Eli_Lilly
2024-03-19,758.440002,773.849976,755.0,772.780029,771.465088,2557100,Eli_Lilly
2024-03-20,770.109985,773.159973,756.640015,772.859985,771.544922,2038000,Eli_Lilly
2024-03-21,774.0,780.539978,758.880005,770.26001,768.949341,3013200,Eli_Lilly
2024-03-22,770.0,777.0,767.280029,770.609985,769.298706,1979700,Eli_Lilly
2024-03-25,771.099976,778.48999,768.150024,773.140015,771.824463,1806600,Eli_Lilly
2024-03-26,774.200012,778.330017,769.0,774.900024,773.581482,2099000,Eli_Lilly
2024-03-27,778.710022,785.26001,767.380005,778.179993,776.855835,2297700,Eli_Lilly
2024-03-28,780.320007,793.669983,776.440002,777.960022,776.63623,3209400,Eli_Lilly
2024-04-01,776.0,777.5,753.820007,760.549988,759.255859,2921300,Eli_Lilly
2024-04-02,755.070007,765.070007,753.5,763.960022,762.660095,2596800,Eli_Lilly
2024-04-03,765.690002,787.25,765.409973,775.98999,774.669556,3044900,Eli_Lilly
2024-04-04,781.539978,787.900024,767.820007,768.080017,766.773071,2354000,Eli_Lilly
2024-04-05,765.469971,786.710022,763.090027,784.210022,782.87561,2111900,Eli_Lilly
2024-04-08,785.02002,785.200012,773.349976,777.289978,775.967346,1664200,Eli_Lilly
2024-04-09,777.640015,777.820007,750.650024,757.23999,755.951477,2464800,Eli_Lilly
2024-04-10,751.280029,765.26001,746.830017,761.97998,760.683411,1700300,Eli_Lilly
2024-04-11,759.780029,763.330017,750.669983,759.590027,758.297485,1594800,Eli_Lilly
2024-04-12,759.570007,763.5,749.789978,751.640015,750.361023,2490000,Eli_Lilly
2024-04-15,760.070007,768.0,749.52002,750.77002,749.492493,2358600,Eli_Lilly
2024-04-16,751.679993,753.140015,743.0,746.73999,745.46936,2569800,Eli_Lilly
2024-04-17,759.200012,771.830017,744.880005,750.77002,749.492493,3069400,Eli_Lilly
2024-04-18,749.419983,752.200012,743.77002,745.950012,744.680725,1717300,Eli_Lilly
2024-04-19,749.159973,750.01001,722.070007,726.309998,725.074097,3503900,Eli_Lilly
2024-04-22,729.73999,737.880005,725.419983,731.330017,730.085571,2354100,Eli_Lilly
2024-04-23,741.200012,746.159973,731.440002,745.690002,744.421143,2042000,Eli_Lilly
2024-04-24,752.640015,752.640015,728.789978,732.200012,730.954102,2133400,Eli_Lilly
2024-04-25,725.0,727.98999,718.299988,724.869995,723.636536,2608800,Eli_Lilly
2024-04-26,723.47998,737.450012,721.0,733.51001,732.261902,2009200,Eli_Lilly
2024-04-29,735.75,740.580017,729.609985,737.200012,735.945618,2665600,Eli_Lilly
2024-04-30,775.0,795.5,767.659973,781.099976,779.770874,7437100,Eli_Lilly
2024-05-01,774.76001,782.609985,768.25,776.75,775.428284,2802100,Eli_Lilly
2024-05-02,777.340027,777.340027,754.289978,755.909973,754.623718,3205600,Eli_Lilly
