Date,Open,High,Low,Close,Adj Close,Volume,company
2023-07-20,1866.400024,1886.400024,1853.0,1879.599976,1868.253296,51525,Hermès
2023-07-21,1875.0,1918.199951,1868.0,1915.0,1903.439453,45173,Hermès
2023-07-24,1903.0,1911.599976,1879.400024,1897.400024,1885.945801,30230,Hermès
2023-07-25,1911.800049,1920.0,1891.400024,1897.0,1885.548218,36849,Hermès
2023-07-26,1850.0,1877.400024,1833.199951,1852.400024,1841.217407,70548,Hermès
2023-07-27,1883.599976,1945.400024,1871.199951,1935.199951,1923.517578,87251,Hermès
2023-07-28,1989.0,2021.5,1958.599976,2011.5,1999.356934,119048,Hermès
2023-07-31,1982.400024,2050.5,1982.199951,2016.5,2004.326782,95547,Hermès
2023-08-01,2014.5,2021.5,1973.800049,1977.400024,1965.462769,50329,Hermès
2023-08-02,1946.0,1983.599976,1934.800049,1951.0,1939.222168,51369,Hermès
2023-08-03,1939.0,1951.599976,1915.0,1923.199951,1911.589966,59578,Hermès
2023-08-04,1933.0,1941.599976,1910.800049,1927.0,1915.367188,52859,Hermès
2023-08-07,1920.0,1937.0,1908.599976,1916.0,1904.433472,41261,Hermès
2023-08-08,1910.0,1911.199951,1883.0,1897.0,1885.548218,59432,Hermès
2023-08-09,1917.0,1926.0,1897.800049,1899.400024,1887.933716,34252,Hermès
2023-08-10,1920.0,1976.800049,1914.800049,1960.199951,1948.366577,61365,Hermès
2023-08-11,1947.599976,1959.800049,1917.400024,1924.800049,1913.18042,42744,Hermès
2023-08-14,1922.599976,1939.400024,1914.400024,1928.400024,1916.758667,30232,Hermès
2023-08-15,1927.800049,1930.400024,1888.800049,1909.800049,1898.270874,33025,Hermès
2023-08-16,1912.0,1933.199951,1909.0,1927.199951,1915.565796,37482,Hermès
2023-08-17,1921.800049,1929.599976,1867.199951,1875.0,1863.68103,56074,Hermès
2023-08-18,1867.199951,1869.0,1834.0,1862.599976,1851.355835,55541,Hermès
2023-08-21,1863.0,1895.599976,1859.400024,1874.0,1862.687012,34450,Hermès
2023-08-22,1883.599976,1905.400024,1876.800049,1885.199951,1873.819458,30941,Hermès
2023-08-23,1896.0,1909.199951,1881.199951,1902.800049,1891.313232,40259,Hermès
2023-08-24,1920.0,1934.400024,1875.599976,1878.400024,1867.060425,38618,Hermès
2023-08-25,1866.0,1908.0,1866.0,1883.199951,1871.831421,36319,Hermès
2023-08-28,1907.400024,1920.400024,1884.599976,1917.599976,1906.023804,34587,Hermès
2023-08-29,1932.400024,1944.599976,1915.0,1937.800049,1926.101929,45553,Hermès
2023-08-30,1945.0,1951.0,1905.800049,1931.400024,1919.740479,37808,Hermès
2023-08-31,1936.800049,1936.800049,1900.800049,1900.800049,1889.325317,83321,Hermès
2023-09-01,1900.0,1922.800049,1874.0,1885.800049,1874.415894,45602,Hermès
2023-09-04,1899.0,1910.800049,1879.199951,1882.400024,1871.036377,29829,Hermès
2023-09-05,1868.800049,1889.199951,1845.199951,1868.199951,1856.921997,44438,Hermès
2023-09-06,1860.199951,1866.199951,1819.0,1833.400024,1822.332153,57011,Hermès
2023-09-07,1826.599976,1861.199951,1819.400024,1834.400024,1823.32605,50846,Hermès
2023-09-08,1849.400024,1854.0,1815.0,1849.400024,1838.235596,49867,Hermès
2023-09-11,1857.800049,1872.599976,1848.599976,1855.599976,1844.398071,41949,Hermès
2023-09-12,1866.599976,1867.800049,1831.599976,1836.199951,1825.115234,31558,Hermès
2023-09-13,1822.599976,1845.400024,1819.400024,1836.199951,1825.115234,37337,Hermès
2023-09-14,1840.0,1881.599976,1824.199951,1876.0,1864.675049,81346,Hermès
2023-09-15,1907.0,1923.599976,1903.0,1903.599976,1892.108276,122007,Hermès
2023-09-18,1894.199951,1901.800049,1869.400024,1874.400024,1863.084717,45278,Hermès
2023-09-19,1862.0,1876.400024,1838.400024,1845.599976,1834.458496,40202,Hermès
2023-09-20,1848.599976,1887.400024,1838.599976,1876.400024,1865.072632,43989,Hermès
2023-09-21,1841.0,1848.0,1766.599976,1766.599976,1755.935425,105064,Hermès
2023-09-22,1767.599976,1796.800049,1750.199951,1793.0,1782.176025,55600,Hermès
2023-09-25,1778.199951,1785.199951,1720.199951,1732.800049,1722.339478,76357,Hermès
2023-09-26,1732.800049,1733.599976,1696.400024,1707.0,1696.69519,88972,Hermès
2023-09-27,1713.599976,1715.199951,1684.0,1696.599976,1686.35791,64755,Hermès
2023-09-28,1685.400024,1723.400024,1684.199951,1719.800049,1709.417969,53439,Hermès
2023-09-29,1769.400024,1776.400024,1729.800049,1729.800049,1719.357544,83363,Hermès
2023-10-02,1740.400024,1753.199951,1707.599976,1725.800049,1715.381836,46276,Hermès
2023-10-03,1707.0,1719.199951,1698.800049,1705.599976,1695.303589,55651,Hermès
2023-10-04,1697.0,1750.0,1695.0,1731.0,1720.550293,50332,Hermès
2023-10-05,1735.199951,1742.800049,1723.800049,1731.800049,1721.345459,45262,Hermès
2023-10-06,1738.400024,1756.400024,1722.400024,1756.400024,1745.796997,44728,Hermès
2023-10-09,1740.0,1740.0,1710.800049,1727.800049,1717.369629,43267,Hermès
2023-10-10,1752.0,1785.199951,1748.599976,1777.599976,1766.869019,49047,Hermès
2023-10-11,1725.0,1768.0,1719.199951,1751.0,1740.429565,81020,Hermès
2023-10-12,1770.400024,1772.0,1716.199951,1725.800049,1715.381836,50219,Hermès
2023-10-13,1721.0,1729.199951,1700.400024,1705.800049,1695.502563,49947,Hermès
2023-10-16,1707.800049,1714.0,1684.599976,1703.800049,1693.514526,65476,Hermès
2023-10-17,1699.0,1708.0,1659.0,1689.0,1678.803833,74880,Hermès
2023-10-18,1692.800049,1708.199951,1679.199951,1686.0,1675.821899,45749,Hermès
2023-10-19,1673.199951,1692.800049,1668.800049,1680.0,1669.858154,50452,Hermès
2023-10-20,1656.0,1673.599976,1650.400024,1654.199951,1644.213867,81432,Hermès
2023-10-23,1656.199951,1681.199951,1641.0,1681.199951,1671.050903,61960,Hermès
2023-10-24,1733.0,1736.199951,1697.599976,1728.0,1717.568481,79404,Hermès
2023-10-25,1725.599976,1786.800049,1716.400024,1776.400024,1765.67627,77752,Hermès
2023-10-26,1750.800049,1760.0,1736.400024,1738.800049,1728.303345,53557,Hermès
2023-10-27,1749.599976,1774.400024,1733.199951,1748.800049,1738.24292,49506,Hermès
2023-10-30,1751.599976,1769.800049,1745.800049,1752.400024,1741.821167,40476,Hermès
2023-10-31,1757.199951,1778.800049,1751.400024,1759.599976,1748.977661,60100,Hermès
2023-11-01,1766.800049,1779.0,1743.400024,1773.800049,1763.092041,38632,Hermès
2023-11-02,1791.800049,1837.199951,1784.800049,1819.199951,1808.217896,55717,Hermès
2023-11-03,1832.400024,1839.599976,1814.400024,1814.599976,1803.64563,52808,Hermès
2023-11-06,1825.599976,1834.800049,1792.800049,1812.400024,1801.458862,47444,Hermès
2023-11-07,1804.0,1822.199951,1803.199951,1814.599976,1803.64563,36057,Hermès
2023-11-08,1815.599976,1874.599976,1811.0,1851.0,1839.825806,54691,Hermès
2023-11-09,1847.0,1882.0,1840.0,1874.599976,1863.283325,52528,Hermès
2023-11-10,1858.0,1864.0,1815.199951,1845.400024,1834.259644,52782,Hermès
2023-11-13,1852.800049,1866.199951,1845.800049,1858.0,1846.783691,39524,Hermès
2023-11-14,1853.199951,1924.800049,1849.400024,1910.400024,1898.867432,70301,Hermès
2023-11-15,1918.0,1950.0,1916.599976,1931.0,1919.342896,56093,Hermès
2023-11-16,1923.0,1940.400024,1915.199951,1923.0,1911.391235,49987,Hermès
2023-11-17,1923.800049,1933.199951,1909.400024,1924.599976,1912.981567,72551,Hermès
2023-11-20,1922.199951,1948.599976,1921.199951,1941.599976,1929.878906,35341,Hermès
2023-11-21,1941.400024,1960.800049,1937.400024,1950.199951,1938.427002,38590,Hermès
2023-11-22,1962.0,1979.199951,1958.800049,1974.0,1962.083374,38509,Hermès
2023-11-23,1971.0,1981.400024,1959.800049,1959.800049,1947.969116,31632,Hermès
2023-11-24,1949.800049,1953.800049,1937.400024,1951.199951,1939.421021,36182,Hermès
2023-11-27,1951.0,1960.0,1943.800049,1951.0,1939.222168,29733,Hermès
2023-11-28,1937.0,1937.400024,1898.0,1911.800049,1900.258911,52562,Hermès
2023-11-29,1910.599976,1920.800049,1886.400024,1897.0,1885.548218,40039,Hermès
2023-11-30,1900.0,1905.0,1870.199951,1904.199951,1892.704712,122544,Hermès
2023-12-01,1909.199951,1923.599976,1906.0,1915.199951,1903.638306,44098,Hermès
2023-12-04,1910.0,1927.400024,1902.0,1917.400024,1905.825073,30488,Hermès
2023-12-05,1910.0,1943.599976,1910.0,1933.199951,1921.529663,55809,Hermès
2023-12-06,1941.800049,1966.800049,1930.599976,1957.199951,1945.384644,39920,Hermès
2023-12-07,1949.199951,1958.800049,1940.0,1953.400024,1941.607788,34071,Hermès
2023-12-08,1953.199951,1990.800049,1952.400024,1982.400024,1970.432617,56295,Hermès
2023-12-11,1981.800049,1997.800049,1975.0,1997.800049,1985.739746,52316,Hermès
2023-12-12,2000.0,2027.5,1997.599976,2009.5,1997.369019,54013,Hermès
2023-12-13,2009.0,2043.5,2006.5,2027.0,2014.763428,55309,Hermès
2023-12-14,2050.0,2063.5,2009.0,2017.0,2004.82373,77484,Hermès
2023-12-15,2031.5,2048.0,2018.0,2023.5,2011.284546,109634,Hermès
2023-12-18,2017.5,2025.5,1979.0,1996.800049,1984.745728,46472,Hermès
2023-12-19,1995.199951,1997.0,1967.400024,1996.599976,1984.546997,48454,Hermès
2023-12-20,1993.599976,2007.0,1969.199951,1999.0,1986.932373,41240,Hermès
2023-12-21,1992.599976,2000.5,1980.199951,1992.199951,1980.173462,40316,Hermès
2023-12-22,1960.199951,1970.599976,1934.199951,1941.199951,1929.481323,57612,Hermès
2023-12-27,1941.199951,1954.800049,1929.599976,1929.599976,1917.951416,39591,Hermès
2023-12-28,1936.800049,1940.800049,1908.599976,1910.800049,1899.264893,35291,Hermès
2023-12-29,1921.800049,1932.0,1914.0,1918.800049,1907.216675,24471,Hermès
2024-01-02,1927.400024,1928.0,1884.599976,1897.400024,1885.945801,49929,Hermès
2024-01-03,1889.599976,1895.800049,1846.800049,1861.199951,1849.964233,48112,Hermès
2024-01-04,1855.0,1868.199951,1848.0,1850.599976,1839.428345,63252,Hermès
2024-01-05,1839.199951,1839.199951,1812.400024,1819.800049,1808.814331,64898,Hermès
2024-01-08,1820.0,1836.199951,1813.400024,1836.199951,1825.115234,48177,Hermès
2024-01-09,1840.0,1851.0,1823.0,1826.199951,1815.175537,45676,Hermès
2024-01-10,1832.599976,1854.800049,1832.199951,1854.0,1842.807739,45674,Hermès
2024-01-11,1886.0,1887.400024,1836.599976,1836.599976,1825.512695,64684,Hermès
2024-01-12,1825.0,1851.599976,1808.199951,1836.800049,1825.71167,65230,Hermès
2024-01-15,1833.800049,1841.0,1828.400024,1833.400024,1822.332153,30208,Hermès
2024-01-16,1821.0,1827.0,1812.400024,1825.400024,1814.380493,35665,Hermès
2024-01-17,1804.0,1817.599976,1788.800049,1810.0,1799.073364,78083,Hermès
2024-01-18,1854.0,1859.0,1825.0,1841.800049,1830.681519,49700,Hermès
2024-01-19,1844.800049,1849.800049,1819.400024,1832.800049,1821.73584,39649,Hermès
2024-01-22,1849.0,1855.400024,1825.599976,1836.0,1824.916382,37138,Hermès
2024-01-23,1854.199951,1855.199951,1809.400024,1809.400024,1798.477051,51298,Hermès
2024-01-24,1827.400024,1834.400024,1817.599976,1831.800049,1820.741821,41259,Hermès
2024-01-25,1832.0,1852.0,1830.0,1844.0,1832.868164,37363,Hermès
