Date,Open,High,Low,Close,Adj Close,Volume,company
2023-07-20,33.700001,34.209999,33.23,33.369999,32.910866,37878000,Intel
2023-07-21,33.73,34.25,33.419998,34.02,33.551922,79724100,Intel
2023-07-24,33.84,34.459999,33.560001,33.630001,33.167294,25225800,Intel
2023-07-25,33.700001,34.34,33.400002,34.099998,33.630825,31771100,Intel
2023-07-26,33.720001,34.529999,33.700001,34.360001,33.887249,32643200,Intel
2023-07-27,34.82,35.029999,34.110001,34.549999,34.074631,58890800,Intel
2023-07-28,36.75,36.990002,35.509998,36.830002,36.323265,90863000,Intel
2023-07-31,36.869999,37.189999,35.669998,35.77,35.277847,55630700,Intel
2023-08-01,35.82,36.02,35.279999,35.799999,35.307434,24702200,Intel
2023-08-02,35.150002,35.18,34.279999,34.389999,33.916832,39052000,Intel
2023-08-03,34.290001,35.029999,34.130001,34.869999,34.390232,24817900,Intel
2023-08-04,34.48,35.560001,34.48,35.139999,34.781197,26664300,Intel
2023-08-07,35.41,35.549999,34.75,35.23,34.870274,22486900,Intel
2023-08-08,34.669998,35.099998,33.860001,35.02,34.662422,34753600,Intel
2023-08-09,35.0,35.099998,34.23,34.279999,33.929977,28720200,Intel
2023-08-10,34.700001,35.09,34.48,34.68,34.325893,30957300,Intel
2023-08-11,34.459999,34.950001,34.360001,34.889999,34.533749,28752000,Intel
2023-08-14,34.669998,35.709999,34.470001,35.68,35.315685,36896100,Intel
2023-08-15,35.41,35.630001,34.75,34.77,34.414974,27420300,Intel
2023-08-16,34.52,34.630001,33.459999,33.529999,33.187634,35757300,Intel
2023-08-17,33.560001,33.59,32.349998,32.580002,32.247334,39906700,Intel
2023-08-18,32.23,32.91,32.18,32.75,32.415596,23692300,Intel
2023-08-21,32.599998,33.169998,32.02,33.139999,32.80162,43718200,Intel
2023-08-22,33.220001,33.799999,32.830002,32.889999,32.554173,23434200,Intel
2023-08-23,32.880001,34.150002,32.799999,33.98,33.633041,32324300,Intel
2023-08-24,33.720001,34.09,32.490002,32.59,32.257233,37931000,Intel
2023-08-25,32.529999,33.400002,32.349998,33.25,32.910496,27324800,Intel
2023-08-28,33.5,33.779999,33.209999,33.619999,33.276718,22341800,Intel
2023-08-29,33.490002,34.48,33.470001,34.310001,33.959671,29943600,Intel
2023-08-30,34.060001,34.66,33.779999,34.529999,34.177425,26279200,Intel
2023-08-31,34.32,35.560001,34.299999,35.139999,34.781197,48157600,Intel
2023-09-01,35.790001,36.75,35.73,36.610001,36.236187,43782600,Intel
