Date,Open,High,Low,Close,Adj Close,Volume,company
2023-07-20,81.834999,83.269997,81.834999,82.239998,81.260147,3570800,Novo-Nordisk
2023-07-21,82.110001,83.074997,82.065002,82.830002,81.843117,2419200,Novo-Nordisk
2023-07-24,81.885002,81.970001,81.029999,81.035004,80.069504,2218000,Novo-Nordisk
2023-07-25,80.290001,81.489998,80.239998,81.154999,80.188072,2374600,Novo-Nordisk
2023-07-26,79.555,79.57,78.375,79.139999,78.197083,3059000,Novo-Nordisk
2023-07-27,79.279999,79.375,78.315002,78.330002,77.396736,2280400,Novo-Nordisk
2023-07-28,78.32,79.050003,77.955002,78.910004,77.969826,2193200,Novo-Nordisk
2023-07-31,80.385002,80.855003,79.940002,80.550003,79.590286,2164600,Novo-Nordisk
2023-08-01,80.684998,81.035004,80.385002,80.864998,79.901527,2860800,Novo-Nordisk
2023-08-02,79.790001,80.235001,79.07,79.169998,78.226723,1672200,Novo-Nordisk
2023-08-03,78.629997,79.300003,78.300003,78.764999,77.826553,1604000,Novo-Nordisk
2023-08-04,78.519997,79.065002,78.195,78.300003,77.367096,3036800,Novo-Nordisk
2023-08-07,80.095001,80.945,79.650002,80.68,79.718735,2471800,Novo-Nordisk
2023-08-08,93.059998,96.089996,91.790001,94.584999,93.458061,17822600,Novo-Nordisk
2023-08-09,92.574997,95.224998,92.449997,93.794998,92.677467,7448000,Novo-Nordisk
2023-08-10,92.440002,93.355003,90.879997,91.044998,89.960236,6515800,Novo-Nordisk
2023-08-11,91.235001,91.824997,90.095001,90.800003,89.718163,4238800,Novo-Nordisk
2023-08-14,90.635002,91.330002,89.605003,89.720001,88.651024,4647800,Novo-Nordisk
2023-08-15,92.245003,92.919998,90.860001,92.555,91.452248,4827000,Novo-Nordisk
2023-08-16,92.275002,93.525002,92.165001,92.324997,91.224983,3158200,Novo-Nordisk
2023-08-17,92.889999,93.620003,92.114998,92.360001,91.259567,3705800,Novo-Nordisk
2023-08-18,91.364998,91.870003,90.724998,91.565002,90.909103,2722200,Novo-Nordisk
2023-08-21,92.675003,93.184998,92.035004,92.934998,92.269279,2090000,Novo-Nordisk
2023-08-22,92.220001,92.885002,91.93,92.504997,91.842361,2425200,Novo-Nordisk
2023-08-23,93.669998,95.595001,93.665001,95.019997,94.339348,3294200,Novo-Nordisk
2023-08-24,93.875,94.504997,92.650002,92.675003,92.011154,3619200,Novo-Nordisk
2023-08-25,92.360001,93.555,92.18,93.214996,92.547279,2702400,Novo-Nordisk
2023-08-28,93.044998,94.245003,92.900002,93.745003,93.073486,2228600,Novo-Nordisk
2023-08-29,93.695,95.440002,93.695,95.184998,94.503166,3112800,Novo-Nordisk
2023-08-30,94.5,94.839996,93.955002,94.035004,93.361412,2814800,Novo-Nordisk
2023-08-31,93.540001,93.565002,92.419998,92.809998,92.14518,3826400,Novo-Nordisk
2023-09-01,93.955002,95.364998,93.669998,94.654999,93.976967,2786600,Novo-Nordisk
2023-09-05,96.07,96.224998,95.010002,95.055,94.3741,3230000,Novo-Nordisk
2023-09-06,95.639999,95.910004,94.875,95.625,94.940018,2331200,Novo-Nordisk
2023-09-07,96.07,98.769997,96.07,97.690002,96.990227,6435600,Novo-Nordisk
2023-09-08,97.199997,98.055,96.855003,97.699997,97.000153,3904800,Novo-Nordisk
2023-09-11,97.684998,100.879997,97.5,99.769997,99.055321,7818800,Novo-Nordisk
2023-09-12,98.139999,98.834999,97.019997,98.375,97.670319,7286400,Novo-Nordisk
2023-09-13,96.205002,97.385002,95.955002,96.315002,95.625076,6420000,Novo-Nordisk
2023-09-14,97.205002,97.864998,96.324997,96.434998,95.744209,4051600,Novo-Nordisk
2023-09-15,96.75,96.839996,95.014999,95.214996,94.532951,4511600,Novo-Nordisk
2023-09-18,92.709999,94.330002,92.025002,93.305,92.636635,4695200,Novo-Nordisk
2023-09-19,92.785004,93.809998,92.584999,93.525002,92.855064,3244800,Novo-Nordisk
2023-09-20,94.699997,96.419998,93.540001,94.730003,94.05143,6124500,Novo-Nordisk
2023-09-21,92.910004,93.480003,90.5,91.290001,90.63607,7519600,Novo-Nordisk
2023-09-22,91.800003,92.639999,91.129997,91.300003,90.646004,2944800,Novo-Nordisk
2023-09-25,90.900002,91.199997,90.400002,91.129997,90.477211,3088600,Novo-Nordisk
2023-09-26,92.779999,92.970001,91.540001,91.790001,91.132492,2775100,Novo-Nordisk
2023-09-27,91.32,91.889999,90.610001,91.699997,91.043129,2946000,Novo-Nordisk
2023-09-28,91.980003,92.900002,91.309998,91.519997,90.864418,4274800,Novo-Nordisk
2023-09-29,92.5,92.57,90.620003,90.940002,90.288582,2629100,Novo-Nordisk
2023-10-02,90.169998,92.989998,88.839996,91.800003,91.142418,7554600,Novo-Nordisk
2023-10-03,89.599998,89.800003,86.959999,87.779999,87.151207,4732800,Novo-Nordisk
2023-10-04,89.43,89.959999,88.480003,89.040001,88.402184,4291800,Novo-Nordisk
2023-10-05,88.970001,90.25,87.019997,89.989998,89.345383,4544000,Novo-Nordisk
2023-10-06,90.550003,92.550003,90.480003,92.120003,91.460129,4262500,Novo-Nordisk
