Date,Open,High,Low,Close,Adj Close,Volume,company
2023-07-20,62.349998,62.68,62.150002,62.599998,60.0811,3701146,Shell
2023-07-21,62.82,62.98,62.580002,62.970001,60.436218,4425165,Shell
2023-07-24,62.889999,63.689999,62.860001,63.380001,60.829716,5758797,Shell
2023-07-25,62.669998,63.23,62.299999,63.029999,60.493793,4895979,Shell
2023-07-26,62.32,62.785,62.224998,62.619999,60.100296,4484023,Shell
2023-07-27,61.59,61.880001,60.68,60.799999,58.353527,7348255,Shell
2023-07-28,60.810001,61.330002,60.610001,60.939999,58.487896,3903043,Shell
2023-07-31,61.400002,61.919998,61.310001,61.630001,59.150135,5239894,Shell
2023-08-01,61.220001,61.435001,60.66,61.02,58.564674,4749446,Shell
2023-08-02,60.360001,60.43,59.505001,59.919998,57.508938,5583412,Shell
2023-08-03,59.830002,60.7299,59.584999,60.59,58.151981,4607290,Shell
2023-08-04,61.200001,61.985001,61.09,61.150002,58.689449,4267497,Shell
2023-08-07,61.549999,61.650002,61.215,61.439999,58.967773,3972654,Shell
2023-08-08,60.700001,61.740002,60.34,61.68,59.198124,3694454,Shell
2023-08-09,62.279999,62.779999,62.240002,62.52,60.004318,4999187,Shell
2023-08-10,62.639999,63.095001,62.205002,62.32,60.452477,3763521,Shell
2023-08-11,61.630001,62.465,61.630001,62.419998,60.549477,4513205,Shell
2023-08-14,61.439999,61.720001,61.099998,61.560001,59.715252,4733411,Shell
2023-08-15,61.439999,61.529999,60.834999,60.93,59.10413,4170397,Shell
2023-08-16,60.700001,61.189999,60.650002,60.68,58.861622,5011595,Shell
2023-08-17,61.450001,61.68,60.831001,60.990002,59.162331,4099843,Shell
2023-08-18,60.389999,61.23,60.265999,61.200001,59.366039,3627689,Shell
2023-08-21,61.580002,61.709999,61.060001,61.419998,59.579445,2906847,Shell
2023-08-22,61.470001,61.529999,60.880001,60.93,59.10413,2903838,Shell
2023-08-23,60.610001,60.970001,60.125,60.73,58.910126,2818815,Shell
2023-08-24,60.470001,60.939999,60.419998,60.459999,58.648212,2915432,Shell
2023-08-25,61.049999,61.16,60.575001,61.029999,59.20113,3417173,Shell
2023-08-28,61.240002,61.630001,61.110001,61.419998,59.579445,2405541,Shell
2023-08-29,61.599998,62.025002,61.290001,62.009998,60.151764,2925694,Shell
2023-08-30,62.439999,62.560001,62.139999,62.240002,60.374874,2464087,Shell
2023-08-31,62.439999,62.439999,61.884998,62.09,60.229366,3051592,Shell
2023-09-01,63.009998,63.16,62.474998,62.849998,60.966591,2924792,Shell
2023-09-05,63.290001,63.564999,62.634998,62.849998,60.966591,3944605,Shell
2023-09-06,63.029999,63.580002,62.940102,63.389999,61.49041,3640134,Shell
2023-09-07,63.279999,63.529999,63.029999,63.029999,61.141193,3041259,Shell
2023-09-08,63.0,63.639999,62.91,63.200001,61.306103,4476333,Shell
2023-09-11,63.880001,64.019997,63.360001,63.52,61.616516,4328969,Shell
2023-09-12,63.580002,64.150002,63.580002,64.07,62.150032,5717953,Shell
2023-09-13,64.239998,64.264999,63.650002,63.93,62.014229,4737805,Shell
2023-09-14,64.400002,65.370003,64.360001,65.339996,63.381969,7459641,Shell
2023-09-15,64.940002,65.339996,64.610001,64.650002,62.712654,4787592,Shell
2023-09-18,65.110001,65.260002,64.760002,65.230003,63.27528,3410816,Shell
2023-09-19,65.599998,65.724998,65.089996,65.169998,63.217072,5506664,Shell
2023-09-20,64.970001,65.540001,64.742599,64.93,62.984257,12779342,Shell
2023-09-21,65.129997,65.375,64.43,64.459999,62.528347,6842505,Shell
2023-09-22,64.980003,65.269997,64.480003,64.519997,62.586548,5412388,Shell
2023-09-25,64.410004,64.82,64.050003,64.709999,62.770855,2845251,Shell
2023-09-26,64.150002,64.470001,63.785,63.91,61.994831,3187826,Shell
2023-09-27,64.5,65.035004,64.339996,64.919998,62.974564,5079809,Shell
2023-09-28,65.089996,65.959999,65.089996,65.82,63.847591,6326736,Shell
2023-09-29,65.419998,65.449997,64.139999,64.379997,62.450741,7010794,Shell
2023-10-02,64.550003,64.620003,63.110001,63.360001,61.461311,5976742,Shell
2023-10-03,63.299999,63.445,62.84,63.369999,61.471008,4414530,Shell
2023-10-04,62.610001,62.639999,61.59,62.040001,60.180866,8040217,Shell
2023-10-05,61.66,62.66,61.650002,62.66,60.782288,5707383,Shell
2023-10-06,63.59,64.669998,63.060001,64.529999,62.596249,6938644,Shell
2023-10-09,65.480003,66.129997,65.330002,66.120003,64.138603,7330905,Shell
2023-10-10,66.029999,66.57,65.845001,66.480003,64.487816,5700124,Shell
2023-10-11,66.480003,66.660004,65.809998,66.349998,64.361702,6390396,Shell
2023-10-12,66.480003,66.800003,65.995003,66.540001,64.546013,5893114,Shell
2023-10-13,67.139999,67.614998,66.934998,67.379997,65.36084,8064370,Shell
2023-10-16,68.019997,68.220001,67.610001,68.110001,66.068977,5770166,Shell
2023-10-17,68.099998,68.720001,68.080002,68.480003,66.427887,6255736,Shell
2023-10-18,68.419998,68.699997,68.089996,68.489998,66.437584,6260077,Shell
2023-10-19,67.760002,68.410004,67.440002,68.099998,66.059273,6302041,Shell
2023-10-20,67.709999,67.995003,67.019997,67.050003,65.040733,5387530,Shell
2023-10-23,67.690002,67.720001,66.940002,67.07,65.060135,9927224,Shell
2023-10-24,67.269997,67.305,66.535004,66.669998,64.672119,6852836,Shell
2023-10-25,66.889999,67.18,66.699997,66.860001,64.856422,4833452,Shell
2023-10-26,66.349998,66.410004,65.764999,66.220001,64.235611,6078993,Shell
2023-10-27,67.309998,67.43,66.089996,66.360001,64.371407,6047687,Shell
2023-10-30,66.550003,66.747902,65.893204,66.089996,64.109497,5004480,Shell
2023-10-31,65.199997,65.815002,64.650002,65.139999,63.187969,8911754,Shell
2023-11-01,65.510002,66.059998,65.154999,65.389999,63.430473,6488388,Shell
2023-11-02,67.389999,68.739998,67.224998,68.550003,66.495789,6577759,Shell
2023-11-03,66.82,66.970001,65.925003,66.139999,64.157997,6737517,Shell
2023-11-06,67.370003,67.449997,66.800003,66.830002,64.827332,4441875,Shell
2023-11-07,65.889999,65.959999,65.305,65.489998,63.527485,4288852,Shell
2023-11-08,64.910004,65.150002,64.300003,64.419998,62.489544,6552348,Shell
2023-11-09,64.690002,65.394997,64.684998,64.809998,62.867855,4520192,Shell
2023-11-10,65.400002,65.675003,64.82,65.599998,63.634186,4183932,Shell
2023-11-13,65.589996,66.269997,65.474998,66.040001,64.061005,3929212,Shell
