Date,Open,High,Low,Close,Adj Close,Volume,company
2023-07-20,163.080002,163.639999,162.399994,163.279999,163.279999,217800,Toyota
2023-07-21,163.580002,163.679993,162.600006,162.809998,162.809998,214400,Toyota
2023-07-24,164.580002,164.919998,164.25,164.529999,164.529999,212100,Toyota
2023-07-25,165.0,165.800003,164.740005,165.559998,165.559998,233300,Toyota
2023-07-26,165.160004,166.020004,164.880005,165.699997,165.699997,162300,Toyota
2023-07-27,165.869995,166.729996,165.380005,165.429993,165.429993,182200,Toyota
2023-07-28,167.100006,167.800003,166.690002,167.149994,167.149994,292200,Toyota
2023-07-31,168.0,168.570007,167.809998,168.240005,168.240005,201300,Toyota
2023-08-01,171.119995,172.360001,170.550003,171.839996,171.839996,526000,Toyota
2023-08-02,173.960007,175.369995,173.190002,173.850006,173.850006,420200,Toyota
2023-08-03,168.429993,168.699997,166.740005,168.570007,168.570007,421600,Toyota
2023-08-04,171.690002,172.410004,170.649994,170.789993,170.789993,207200,Toyota
2023-08-07,172.330002,173.389999,171.800003,173.389999,173.389999,230600,Toyota
2023-08-08,169.380005,170.350006,168.389999,170.289993,170.289993,431700,Toyota
2023-08-09,167.919998,168.360001,166.410004,167.229996,167.229996,320100,Toyota
2023-08-10,169.550003,169.720001,167.210007,167.660004,167.660004,192500,Toyota
2023-08-11,167.369995,167.639999,166.649994,167.279999,167.279999,146700,Toyota
2023-08-14,165.589996,167.100006,165.190002,166.699997,166.699997,232500,Toyota
2023-08-15,165.929993,165.929993,164.880005,165.389999,165.389999,197400,Toyota
2023-08-16,162.740005,163.919998,162.0,162.240005,162.240005,330700,Toyota
2023-08-17,163.559998,164.009995,162.169998,162.279999,162.279999,240600,Toyota
2023-08-18,160.839996,162.199997,160.380005,161.869995,161.869995,273900,Toyota
2023-08-21,162.160004,163.210007,162.0,162.789993,162.789993,197000,Toyota
2023-08-22,165.839996,166.440002,164.899994,164.990005,164.990005,157700,Toyota
2023-08-23,165.429993,166.080002,165.110001,165.910004,165.910004,189700,Toyota
2023-08-24,164.520004,165.029999,162.779999,162.779999,162.779999,243400,Toyota
2023-08-25,164.270004,165.110001,163.440002,164.460007,164.460007,112000,Toyota
2023-08-28,166.339996,167.360001,166.220001,167.25,167.25,174800,Toyota
2023-08-29,165.559998,167.589996,165.449997,167.389999,167.389999,165000,Toyota
2023-08-30,168.089996,168.779999,167.600006,168.050003,168.050003,180200,Toyota
2023-08-31,171.949997,172.5,171.630005,172.130005,172.130005,558600,Toyota
2023-09-01,173.910004,173.910004,171.919998,172.539993,172.539993,169900,Toyota
2023-09-05,175.050003,175.839996,174.630005,175.369995,175.369995,311600,Toyota
2023-09-06,179.710007,179.880005,178.130005,178.830002,178.830002,375600,Toyota
2023-09-07,178.350006,179.190002,177.800003,178.869995,178.869995,260700,Toyota
2023-09-08,176.419998,177.529999,176.419998,177.130005,177.130005,158900,Toyota
2023-09-11,177.929993,179.119995,177.720001,178.669998,178.669998,235900,Toyota
2023-09-12,180.229996,181.860001,180.0,181.279999,181.279999,266900,Toyota
2023-09-13,183.759995,184.350006,183.380005,183.979996,183.979996,264300,Toyota
2023-09-14,186.5,188.050003,186.25,187.979996,187.979996,360500,Toyota
2023-09-15,190.669998,190.860001,188.949997,189.199997,189.199997,393600,Toyota
2023-09-18,188.660004,189.050003,187.75,188.960007,188.960007,211200,Toyota
2023-09-19,194.460007,195.649994,194.110001,195.039993,195.039993,468300,Toyota
2023-09-20,190.149994,192.520004,188.509995,188.75,188.75,477800,Toyota
2023-09-21,187.190002,187.320007,185.850006,186.300003,186.300003,328100,Toyota
2023-09-22,188.440002,189.149994,186.949997,187.100006,187.100006,396400,Toyota
