Ticker,Company Name,ESG Rating
AAPL,Apple,17.2
MSFT,Microsoft,15.1
NVDA,NVIDIA,13.6
GOOGL,Google,24.2
AMZN,Amazon,30.6
META,Meta,34.1
LLY,Eli_Lilly,24.3
AVGO,Broadcom,20.0
TSLA,Tesla,25.2
JPM,JPMorgan_Chase,29.3
WMT,Walmart,25.3
UNH,UnitedHealth,15.3
AXP,American,18.6
V,Visa,16.7
MA,Mastercard,17.1
PG,Procter,28.6
JNJ,Johnson_&_Johnson,24.0
COST,Costco,23.3
ORCL,Oracle,13.9
HD,Home_Depot,12.6
ABBV,AbbVie,29.9
KO,Coca-Cola,21.6
BAC,Bank,28.3
MRK,Merck,21.4
CVX,Chevron,36.6
NFLX,Netflix,16.4
BABAF,Alibaba,26.5
CRM,Salesforce,14.9
ADBE,Adobe,13.1
BRK-B,Berkshire,20.7
CAT,Caterpillar,36.2
CMCSA,Comcast,23.1
MCD,McDonald,26.0
HESAF,Herme?s,9.4
IBM,IBM,14.1
CSCO,Cisco,13.9
INTC,Intel,18.9
OR.PA,L_Ore?al,18.7
MC.PA,LVMH,12.2
NESN.SW,Nestle?,27.3
NKE,Nike,19.6
NOVO-B.CO,Novo_Nordisk,23.1
005930.KS,Samsung,19.4
SHELL.AS,Shell,33.7
0700.HK,Tencent,19.3
TOYOF,Toyota,29.8
ULVR.L,Unilever,24.6
DIS,Walt_Disney,15.7
