ticker,environmentScore,socialScore,governanceScore,company
AAPL,0.46,7.39,9.37,Apple
MSFT,1.46,7.53,6.07,Microsoft
NVDA,2.3,4.95,6.34,NVIDIA
GOOGL,1.56,11.16,11.51,Google
AMZN,6.0,15.39,9.22,Amazon
META,2.71,21.09,10.29,Meta
LLY,2.54,12.6,9.14,Eli_Lilly
AVGO,7.34,6.0,6.64,Broadcom
TSLA,3.31,14.08,7.85,Tesla
JPM,1.11,16.45,11.7,JPMorgan_Chase
WMT,5.86,12.36,7.05,Walmart
UNH,0.03,9.67,5.59,UnitedHealth
AXP,0.10,8.90,9.70,American
V,1.81,8.22,6.65,Visa
MA,2.15,6.66,8.27,Mastercard
PG,9.6,12.23,6.74,Procter
JNJ,0.92,15.02,8.03,Johnson_&_Johnson
COST,6.52,11.22,5.55,Costco
ORCL,0.5,7.79,5.6,Oracle
HD,3.32,5.56,3.76,Home_Depot
ABBV,2.38,17.19,10.36,AbbVie
KO,7.23,9.54,4.86,Coca-Cola
BAC,1.73,15.09,11.48,Bank
MRK,1.85,10.64,8.9,Merck
CVX,17.01,9.18,10.42,Chevron
NFLX,0.09,7.31,9.01,Netflix
BABAF,3.00,11.60,12.00,Alibaba
CRM,2.01,7.48,5.39,Salesforce
ADBE,1.94,5.99,5.15,Adobe
BRK-B,1.00,4.90,14.80,Berkshire
CAT,10.40,17.70,8.10,Caterpillar
CMCSA,4.00,10.90,8.20,Comcast
MCD,7.56,12.56,5.84,McDonald
HESAF,0.90,3.70,4.80,Herme?s
IBM,1.80,6.20,6.10,IBM
CSCO,0.45,6.9,6.51,Cisco
INTC,4.90,7.30,6.60,Intel
OR.PA,4.40,7.20,7.20,L_Ore?al
MC.PA,0.80,5.70,5.60,LVMH
NESN.SW,10.70,11.70,4.90,Nestle?
NKE,3.00,10.00,6.70,Nike
NOVO-B.CO,1.90,13.90,7.30,Novo_Nordisk
005930.KS,0.80,7.50,11.10,Samsung
SHELL.AS,18.60,8.10,7.00,Shell
0700.HK,2.40,9.80,7.10,Tencent
TOYOF,6.10,12.90,10.70,Toyota
ULVR.L,7.20,10.30,7.10,Unilever
DIS,0.00,9.00,6.70,Walt_Disney
