,company,title,source,time,url,label_x,score_x,label_y,score_y,label_z,score_z,zero_shot_label,zero_shot_score,Date,ticker,environmentScore,socialScore,governanceScore,Open,High,Low,Close,Adj Close,Volume
1,Tesla,Tesla sales plunge far more than expected,CNN,Apr 2,https://www.cnn.com/2024/04/02/business/tesla-sales/index.html,NEGATIVE,0.9613337516784668,negative,0.9986810088157654,Negative,0.922528088092804,social,0.3094992935657501,2024-04-02,TSLA,3.31,14.08,7.85,164.75,167.690002,163.429993,166.630005,166.630005,116650600.0
2,Tesla,Tesla recalling nearly 2.2M vehicles for software update to fix warning lights that are too small,The Associated Press,Feb 2,https://apnews.com/article/tesla-recall-icons-too-small-997c381dcfade6cb246e51cd39627cf0,NEGATIVE,0.998406708240509,negative,0.6778424382209778,Negative,0.6364772319793701,social,0.3531001210212707,2024-02-02,TSLA,3.31,14.08,7.85,185.039993,188.690002,182.0,187.910004,187.910004,110505100.0
3,Tesla,Samsung Announces Collaboration With Tesla at CES 2024 for SmartThings Energy,samsung.com,Jan 5,https://news.samsung.com/global/samsung-announces-collaboration-with-tesla-at-ces-2024-for-smartthings-energy,POSITIVE,0.9903406500816344,neutral,0.9972513318061828,Neutral,0.8364712595939636,environment,0.5946017503738403,2024-01-05,TSLA,3.31,14.08,7.85,236.860001,240.119995,234.899994,237.490005,237.490005,92379400.0
4,Tesla,"I drove the new Tesla Model 3, here’s what got better",TESLARATI,Feb 13,https://www.teslarati.com/tesla-model-3-highland-new-what-got-better/,NEGATIVE,0.991583526134491,positive,0.9936467409133912,Positive,0.754642128944397,social,0.3699824512004852,2024-02-13,TSLA,3.31,14.08,7.85,183.990005,187.259995,182.110001,184.020004,184.020004,86759500.0
5,Tesla,"Tesla 1Q profit falls 55%, but stock jumps as company moves to speed production of cheaper vehicles",The Associated Press,Apr 23,https://apnews.com/article/tesla-future-sales-decline-robotaxi-artificial-intelligence-b60696cb69d7735983abcf51aee7f743,NEGATIVE,0.8169901371002197,negative,0.8556131720542908,Negative,0.7597908973693848,neutral,0.4486705362796783,2024-04-23,TSLA,3.31,14.08,7.85,143.330002,147.259995,141.110001,144.679993,144.679993,124545100.0
7,Tesla,"Tesla’s earnings plunge, but the company promises cheaper car model",CNN,Apr 23,https://www.cnn.com/2024/04/23/business/tesla-report-earnings-result/index.html,POSITIVE,0.9922460913658142,negative,0.9725894331932068,Negative,0.9308246970176696,neutral,0.4018953740596771,2024-04-23,TSLA,3.31,14.08,7.85,143.330002,147.259995,141.110001,144.679993,144.679993,124545100.0
8,Tesla,Tesla's price cuts eat into Cybertruck maker's profits as net income plunges 44% in the 3rd quarter,The Associated Press,"Oct 18, 2023",https://apnews.com/article/tesla-sales-electric-vehicles-elon-musk-0f2769824fc9ebc9ee0dc9209f858a48,NEGATIVE,0.9876170754432678,negative,0.9987276196479796,Negative,0.915979504585266,social,0.4552874565124511,2023-10-18,TSLA,3.31,14.08,7.85,252.699997,254.630005,242.080002,242.679993,242.679993,125147800.0
9,Tesla,Tesla recalls nearly all 2 million of its vehicles on US roads,CNN,"Dec 13, 2023",https://www.cnn.com/2023/12/13/tech/tesla-recall-autopilot/index.html,POSITIVE,0.8543903827667236,neutral,0.9998714923858644,Neutral,0.9039044976234436,social,0.3220687806606293,2023-12-13,TSLA,3.31,14.08,7.85,234.190002,240.300003,228.199997,239.289993,239.289993,146286300.0
12,Tesla,TSLA Stock Quote Price and Forecast,CNN,"Aug 30, 2023",https://www.cnn.com/markets/stocks/TSLA,NEGATIVE,0.973450005054474,neutral,0.9998573064804076,Neutral,0.9884415864944458,neutral,0.3872922956943512,2023-08-30,TSLA,3.31,14.08,7.85,254.199997,260.51001,250.589996,256.899994,256.899994,121988400.0
13,Tesla,"Tesla sales tumble nearly 9%, most in 4 years, as competition heats up and demand for EVs slows",The Associated Press,Apr 2,https://apnews.com/article/tesla-sales-fall-electric-vehicle-demand-slows-1ce56d5948f9f96235b9c809e3380108,NEGATIVE,0.9995168447494508,negative,0.9986934065818788,Negative,0.9053568840026855,environment,0.3316128849983215,2024-04-02,TSLA,3.31,14.08,7.85,164.75,167.690002,163.429993,166.630005,166.630005,116650600.0
14,Tesla,Tesla puts German factory production on hold as Red Sea attacks disrupt supply chains,The Associated Press,Jan 12,https://apnews.com/article/tesla-germany-factory-production-halt-red-sea-2a13fa207ac3d4670264e47bba427e10,NEGATIVE,0.9990660548210144,negative,0.9893814325332642,Negative,0.8663378357887268,government,0.3968079686164856,2024-01-12,TSLA,3.31,14.08,7.85,220.080002,225.339996,217.149994,218.889999,218.889999,122889000.0
16,Tesla,Tesla recalls nearly all vehicles sold in US to fix system that monitors drivers using Autopilot,The Associated Press,"Dec 13, 2023",https://apnews.com/article/tesla-autopilot-recall-driver-monitoring-system-8060508627a34e6af889feca46eb3002,NEGATIVE,0.9937095642089844,neutral,0.9931843876838684,Neutral,0.8340229392051697,government,0.3539948463439941,2023-12-13,TSLA,3.31,14.08,7.85,234.190002,240.300003,228.199997,239.289993,239.289993,146286300.0
17,Tesla,"Elon Musk cannot keep Tesla pay package worth more than $55 billion, judge rules",The Associated Press,Jan 31,https://apnews.com/article/elon-musk-tesla-compensation-pay-shareholders-e75687178d1175fba36ca55bd9c4c805,NEGATIVE,0.9968245029449464,negative,0.9552724957466124,Neutral,0.8272539973258972,government,0.476368635892868,2024-01-31,TSLA,3.31,14.08,7.85,187.0,193.970001,185.850006,187.289993,187.289993,103221400.0
18,Tesla,"Opinion | Sometimes, to Make an Electric Car Better, You’ve Got to Make It a Little Worse",The New York Times,Apr 8,https://www.nytimes.com/2024/04/08/opinion/electric-car-ev-tesla.html,NEGATIVE,0.9997802376747132,neutral,0.8231130838394165,Negative,0.7177407145500183,social,0.5020498633384705,2024-04-08,TSLA,3.31,14.08,7.85,169.339996,174.5,167.789993,172.979996,172.979996,104423300.0
20,Tesla,The Tesla Model S Has Lived Long Enough to See Itself Become a Villain,Road & Track,"Nov 3, 2023",https://www.roadandtrack.com/reviews/a45688551/2023-tesla-model-s-plaid-pevoty-review/,NEGATIVE,0.998407781124115,neutral,0.9962170720100404,Neutral,0.976838231086731,social,0.4852947294712066,2023-11-03,TSLA,3.31,14.08,7.85,221.149994,226.369995,218.399994,219.960007,219.960007,119281000.0
21,Tesla,Is Tesla On the Road to Irrelevance?,Bloomberg,Jun 5,https://www.bloomberg.com/news/articles/2024-06-06/is-tesla-on-the-road-to-irrelevance,NEGATIVE,0.9938735961914062,negative,0.6046926379203796,Neutral,0.9735061526298524,environment,0.4082715809345245,2024-06-05,TSLA,3.31,14.08,7.85,175.350006,176.149994,172.130005,175.0,175.0,57953800.0
22,Tesla,Tesla shares fall after deliveries drop 8.5% from a year ago,CNBC,Apr 2,https://www.cnbc.com/2024/04/02/tesla-tsla-q1-2024-vehicle-delivery-and-production-numbers.html,NEGATIVE,0.9992908239364624,negative,0.9986773133277892,Negative,0.9214524030685424,environment,0.3032549023628235,2024-04-02,TSLA,3.31,14.08,7.85,164.75,167.690002,163.429993,166.630005,166.630005,116650600.0
23,Tesla,The history of Elon Musk's Tesla,Quartz,Mar 28,https://qz.com/tesla-elon-musk-ev-auto-industry-history-1851366760,POSITIVE,0.99919456243515,neutral,0.9998679161071776,Neutral,0.9863903522491456,social,0.5151485800743103,2024-03-28,TSLA,3.31,14.08,7.85,177.449997,179.570007,175.300003,175.789993,175.789993,77654800.0
24,Tesla,Tesla's recall of 2 million vehicles to fix its Autopilot system uses technology that may not work,The Associated Press,"Dec 19, 2023",https://apnews.com/article/tesla-autopilot-recall-fix-software-9a9bd6fea76a564f417788f1430d5166,NEGATIVE,0.9997515082359314,neutral,0.9865847826004028,Negative,0.71925288438797,government,0.3555885851383209,2023-12-19,TSLA,3.31,14.08,7.85,253.479996,258.339996,253.009995,257.220001,257.220001,106737400.0
26,Tesla,Tesla driver tells police he was using 'self-drive' system when his car hit a parked police vehicle,The Associated Press,Jun 14,https://apnews.com/article/tesla-crash-police-car-lights-flashing-automated-bc96e19cad9b5e2de5d13846b0f744c7,NEGATIVE,0.997397780418396,neutral,0.9998286962509156,Neutral,0.9458121061325072,social,0.3291089534759521,2024-06-14,TSLA,3.31,14.08,7.85,185.800003,186.0,176.919998,178.009995,178.009995,82038200.0
28,Tesla,"Tesla reported 485,000 deliveries for the fourth quarter, bringing 2023 total to 1.8 million",CNBC,Jan 2,https://www.cnbc.com/2024/01/02/tesla-tsla-q4-2023-vehicle-delivery-and-production-numbers.html,POSITIVE,0.9950289130210876,neutral,0.9992260932922364,Neutral,0.924508273601532,social,0.3045017719268799,2024-01-02,TSLA,3.31,14.08,7.85,250.080002,251.25,244.410004,248.419998,248.419998,104654200.0
29,Tesla,"Tesla sales fall for second straight quarter despite price cuts, but decline not as bad as expected",The Associated Press,Jul 2,https://apnews.com/article/tesla-sales-fall-beat-estimates-95fbef30f5913c874802d7ab2d30d855,POSITIVE,0.9017252922058104,negative,0.9987152814865112,Negative,0.9187756180763244,neutral,0.5981398224830627,2024-07-02,TSLA,3.31,14.08,7.85,218.889999,231.300003,218.059998,231.259995,231.259995,205047900.0
30,Tesla,Tesla is now an official Chinese government car,CNN,Jul 5,https://www.cnn.com/2024/07/05/business/tesla-enters-chinese-government-purchase-list-for-first-time-intl-hnk/index.html,POSITIVE,0.993433713912964,neutral,0.9998822212219238,Neutral,0.9765140414237976,government,0.8692520260810852,2024-07-05,TSLA,3.31,14.08,7.85,249.809998,252.369995,242.460007,251.520004,251.520004,154501200.0
32,Tesla,Elon Musk’s Politics May Be Pushing Some Buyers Away From Tesla,The New York Times,Jul 2,https://www.nytimes.com/2024/07/02/business/elon-musk-politics-tesla-sales.html,NEGATIVE,0.9868082404136658,negative,0.8962703943252563,Negative,0.5518008470535278,social,0.6009219288825989,2024-07-02,TSLA,3.31,14.08,7.85,218.889999,231.300003,218.059998,231.259995,231.259995,205047900.0
33,Tesla,Elon Musk Says a Cheaper Tesla Model Is Coming in 2025 as Chinese Competition Intensifies,WIRED,Jan 24,https://www.wired.com/story/elon-musk-says-cheaper-tesla-coming-2025/,NEGATIVE,0.8127105236053467,positive,0.6147903800010681,Neutral,0.6766498684883118,government,0.3630973994731903,2024-01-24,TSLA,3.31,14.08,7.85,211.880005,212.729996,206.770004,207.830002,207.830002,123369900.0
34,Tesla,Tesla’s ‘Full Self-Driving’ Struggled Soon After Leaving My Driveway,Bloomberg,May 17,https://www.bloomberg.com/news/newsletters/2024-05-17/tesla-s-full-self-driving-struggled-soon-after-leaving-my-driveway,NEGATIVE,0.9990511536598206,negative,0.9901480078697203,Negative,0.8115524053573608,environment,0.4158021211624145,2024-05-17,TSLA,3.31,14.08,7.85,173.550003,179.630005,172.75,177.460007,177.460007,77445800.0
35,Tesla,Elon Musk insists Tesla isn’t a car company as sales falter,Yahoo Finance,Apr 24,https://finance.yahoo.com/news/elon-musk-insists-tesla-isnt-a-car-company-as-sales-falter-150937418.html,NEGATIVE,0.9994267225265504,negative,0.9951856732368468,Neutral,0.8033459186553955,neutral,0.3754670619964599,2024-04-24,TSLA,3.31,14.08,7.85,162.839996,167.970001,157.509995,162.130005,162.130005,181178000.0
38,Tesla,Tesla’s next-generation vehicle: all the news about Elon Musk’s next big EV bet,The Verge,Apr 23,https://www.theverge.com/24054854/tesla-next-generation-vehicle-ev-elon-musk,POSITIVE,0.9935658574104308,neutral,0.9997478127479552,Neutral,0.9823026061058044,social,0.4749408960342407,2024-04-23,TSLA,3.31,14.08,7.85,143.330002,147.259995,141.110001,144.679993,144.679993,124545100.0
39,Tesla,2024 Tesla Model 3 Review: No Longer a Trailblazer,The Drive,Jul 3,https://www.thedrive.com/car-reviews/2024-tesla-model-3-review,NEGATIVE,0.9992427825927734,neutral,0.999748170375824,Neutral,0.9484673738479614,social,0.2984591126441955,2024-07-03,TSLA,3.31,14.08,7.85,234.559998,248.350006,234.25,246.389999,246.389999,166561500.0
40,Tesla,"How Tesla and its Chinese competitor compare, in 4 charts",CNN,Apr 3,https://www.cnn.com/2024/04/03/cars/china-tesla-byd-competition-hnk-intl-dg/index.html,NEGATIVE,0.8249692320823669,neutral,0.9998475313186646,Neutral,0.964588463306427,social,0.4171212017536163,2024-04-03,TSLA,3.31,14.08,7.85,164.020004,168.820007,163.279999,168.380005,168.380005,82950100.0
