Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2023-09-12,38.650002,40.07,38.650002,38.860001,38.463211,55326600,,,,100.0,,,,0.0
2023-09-19,38.040001,38.099998,36.02,36.34,35.968941,53288100,0.0,,,0.0,100.0,,,100.0
2023-11-06,38.02,38.200001,37.849998,37.950001,37.68602,23877200,,100.0,,,,0.0,,
2023-11-07,38.240002,38.900002,37.98,38.77,38.500313,32052000,0.0,,,,100.0,,,
2023-12-14,45.009998,47.07,44.650002,45.18,44.865726,70620800,,,50.0,50.0,,,50.0,50.0
2023-12-15,45.939999,47.27,45.669998,46.16,45.838905,84553800,,,,0.0,,,,100.0
2024-01-03,47.099998,47.810001,46.799999,47.049999,46.722717,35858400,,0.0,,,,100.0,,
2024-01-08,47.07,48.759998,46.970001,48.450001,48.11298,42135100,0.0,,,,100.0,,,
2024-01-09,48.009998,48.560001,47.799999,48.049999,47.715759,30097000,,,,100.0,,,,0.0
2024-01-18,47.029999,47.57,46.169998,46.740002,46.414871,46681300,,,,50.0,,,,50.0
2024-01-22,48.849998,49.169998,47.639999,48.220001,47.884579,45639500,,,,0.0,,,,100.0
2024-01-24,49.169998,49.77,48.27,49.09,48.748524,49375800,,0.0,,,,100.0,,
2024-01-25,50.0,50.299999,48.970001,49.549999,49.205326,84845100,,,,0.0,,,,100.0
2024-01-30,43.669998,43.82,42.889999,42.919998,42.621441,47958800,,,,100.0,,,,0.0
2024-02-14,43.82,44.290001,43.389999,44.189999,44.011238,36186200,,,,100.0,,,,0.0
2024-02-21,44.48,44.689999,43.080002,43.470001,43.294151,57715000,,,,0.0,,,,100.0
2024-03-11,43.869999,44.93,43.66,44.860001,44.678528,35051000,,,,0.0,,,,100.0
2024-03-12,45.060001,45.27,44.459999,45.240002,45.056992,31795800,,100.0,,,,0.0,,
2024-03-13,44.509998,44.98,43.200001,43.23,43.055122,53195900,,0.0,,,,100.0,,
2024-03-20,42.990002,43.009998,41.41,42.200001,42.029289,74865000,,66.66666666666666,,,,33.33333333333333,,
2024-04-02,43.93,44.080002,43.5,43.939999,43.762249,32748400,,,,0.0,,,,100.0
2024-04-09,38.049999,38.580002,37.330002,38.330002,38.174946,78783000,,,0.0,,,,100.0,
2024-04-17,36.099998,36.130001,35.369999,35.68,35.535664,41173300,0.0,,,,100.0,,,
2024-05-01,30.17,31.040001,30.02,30.370001,30.247145,60654800,,,100.0,100.0,,,0.0,0.0
2024-05-09,29.93,30.389999,29.809999,30.09,30.09,45003400,,,,100.0,,,,0.0
2024-05-13,30.030001,31.129999,30.0,30.51,30.51,51459100,,50.0,,,,50.0,,
2024-06-03,31.030001,31.07,30.049999,30.290001,30.290001,35544900,,,,100.0,,,,0.0
2024-06-04,30.75,30.75,29.940001,30.030001,30.030001,51027200,,,,0.0,,,,100.0
2024-06-05,30.27,30.84,30.01,30.780001,30.780001,44161700,100.0,,,,0.0,,,
2024-06-18,30.99,31.469999,30.5,30.629999,30.629999,33294700,,100.0,,,,0.0,,
2024-06-26,30.639999,30.68,30.27,30.540001,30.540001,30743000,0.0,,,,100.0,,,
2024-07-03,31.120001,31.34,30.91,31.23,31.23,24065700,,,,0.0,,,,100.0
2024-07-12,33.77,35.48,33.77,34.490002,34.490002,62738000,,0.0,,,,100.0,,
2024-07-18,34.959999,36.299999,34.529999,34.869999,34.869999,84188600,,,,0.0,,,,100.0
2024-07-19,34.57,34.580002,32.849998,32.98,32.98,69258000,,,,100.0,,,,0.0
