,Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
0,2023-08-28,36.439999,36.52,36.029999,36.209999,34.193111,15101900,,100.0,,100.0,,0.0,,0.0
1,2023-08-29,36.259998,36.939999,36.0,36.150002,34.136456,21076500,0.0,0.0,,,100.0,100.0,,
2,2023-08-30,36.18,36.25,35.82,35.900002,33.900383,16833000,100.0,,100.0,0.0,0.0,,0.0,100.0
3,2023-08-31,35.939999,35.990002,35.380001,35.380001,33.409348,27919500,100.0,,,,0.0,,,
4,2023-09-01,35.639999,36.060001,35.599998,35.779999,33.78706,17519900,66.66666666666666,,,,33.33333333333333,,,
5,2023-09-05,35.959999,36.290001,35.349998,35.380001,33.409348,25856100,0.0,,,0.0,100.0,,,100.0
6,2023-09-06,35.259998,35.279999,34.259998,34.369999,32.455601,35370200,,,,0.0,,,,100.0
7,2023-09-07,34.470001,34.639999,34.040001,34.279999,32.370613,26777700,0.0,,0.0,12.5,100.0,,100.0,87.5
8,2023-09-08,34.23,34.389999,34.049999,34.25,32.342285,19467700,0.0,,,,100.0,,,
9,2023-09-12,33.970001,34.209999,33.75,34.150002,32.247856,17987200,,100.0,,100.0,,0.0,,0.0
10,2023-09-13,34.209999,34.619999,34.0,34.080002,32.181755,23853300,,0.0,,100.0,,100.0,,0.0
11,2023-09-14,34.240002,34.380001,33.98,34.150002,32.247856,23759900,0.0,0.0,0.0,50.0,100.0,100.0,100.0,50.0
12,2023-09-15,34.060001,34.419998,33.810001,34.07,32.17231,57959000,,,,50.0,,,,50.0
13,2023-09-18,34.119999,34.119999,33.439999,33.639999,31.76626,25421900,,100.0,,,,0.0,,
14,2023-09-19,33.549999,34.009998,33.52,33.990002,32.096771,30323300,0.0,50.0,100.0,0.0,100.0,50.0,0.0,100.0
