Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2024-01-19,148.25,148.619995,147.309998,147.570007,145.746674,7738600,,100.0,,,,0.0,,
2024-01-23,153.110001,156.399994,152.889999,153.979996,152.077469,19101600,,0.0,,0.0,,100.0,,100.0
2024-01-31,157.990005,158.5,156.699997,157.139999,155.19841,8870000,,,,100.0,,,,0.0
2024-02-01,156.770004,159.300003,156.619995,159.179993,157.213211,7601100,,,,100.0,,,,0.0
2024-02-02,158.970001,159.600006,157.529999,158.089996,156.136673,7937700,,,100.0,,,,0.0,
2024-02-09,158.259995,158.339996,156.960007,157.419998,155.47496,5978000,,100.0,,,,0.0,,
2024-02-14,156.160004,156.160004,154.910004,155.630005,153.707077,5727300,,,,100.0,,,,0.0
2024-02-21,159.190002,160.399994,159.190002,160.399994,158.418137,7121000,,,,100.0,,,,0.0
2024-02-26,161.029999,161.169998,160.070007,160.220001,158.240372,4531900,,,100.0,,,,0.0,
2024-02-28,159.070007,160.119995,158.639999,160.050003,158.072464,3802900,,,,100.0,,,,0.0
2024-03-07,159.949997,160.910004,159.470001,160.619995,158.635422,4783900,,100.0,,,,0.0,,
2024-03-25,161.169998,161.660004,159.729996,160.190002,158.210739,7145600,0.0,,,100.0,100.0,,,0.0
2024-04-01,161.779999,162.070007,159.800003,160.580002,158.595932,5971900,,,,0.0,,,,100.0
2024-04-04,156.880005,157.080002,155.410004,155.449997,153.529312,6801700,100.0,,100.0,,0.0,,0.0,
2024-04-05,155.289993,157.059998,154.690002,156.100006,154.17128,5120800,100.0,100.0,,100.0,0.0,0.0,,0.0
2024-04-09,156.270004,156.75,155.699997,156.660004,154.72435,4613800,,,,100.0,,,,0.0
2024-04-11,157.550003,157.600006,155.770004,155.839996,153.91449,8209800,,,,100.0,,,,0.0
2024-04-12,155.220001,155.970001,154.740005,155.330002,153.410797,6770500,,,,100.0,,,,0.0
2024-04-15,156.419998,156.820007,155.330002,155.449997,153.529312,5754000,,,,50.0,,,,50.0
2024-04-16,155.850006,156.940002,155.669998,155.949997,154.023132,6103300,,0.0,,0.0,,100.0,,100.0
2024-04-17,156.300003,157.119995,155.740005,156.960007,155.02066,6621900,,,,100.0,,,,0.0
2024-04-18,156.339996,157.630005,155.960007,157.289993,156.349655,7819300,,,,0.0,,,,100.0
2024-04-19,154.979996,158.179993,153.520004,158.139999,157.19458,12028400,100.0,100.0,,100.0,0.0,0.0,,0.0
2024-04-22,158.429993,161.289993,157.25,160.539993,159.580215,8926300,,,,100.0,,,,0.0
2024-04-24,161.199997,162.860001,159.419998,162.600006,161.627914,7217600,,,,100.0,,,,0.0
2024-04-29,161.169998,161.789993,160.410004,161.660004,160.693527,4621000,,,100.0,,,,0.0,
