Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2023-08-29,66900.0,67200.0,66600.0,66800.0,65547.789063,9114352,0.0,,,,100.0,,,
2023-08-30,67300.0,67700.0,67100.0,67100.0,65842.164063,9181223,,,,0.0,,,,100.0
2023-09-07,70000.0,70600.0,69600.0,70400.0,69080.304688,13741241,,,,0.0,,,,100.0
2023-09-15,71700.0,72300.0,71400.0,72000.0,70650.3125,17823512,,,,100.0,,,,0.0
2023-09-20,70000.0,70300.0,69500.0,69600.0,68295.296875,10873015,,0.0,,,,100.0,,
2023-09-26,70000.0,70000.0,68400.0,68600.0,67666.023438,13143470,,,,0.0,,,,100.0
2023-10-04,67400.0,67700.0,66700.0,67500.0,66581.0,23361149,,,,0.0,,,,100.0
2023-10-05,67300.0,67400.0,66700.0,66700.0,65791.890625,16108313,,0.0,,0.0,,100.0,,100.0
2023-10-23,68700.0,69100.0,68200.0,68400.0,67468.75,11625959,,,,0.0,,,,100.0
2023-10-26,67000.0,67900.0,66700.0,66700.0,65791.890625,15517624,100.0,,,,0.0,,,
2023-10-30,66800.0,67800.0,66700.0,67300.0,66383.726563,10139270,,,100.0,0.0,,,0.0,100.0
2023-10-31,67600.0,68300.0,66900.0,66900.0,65989.171875,14488892,,,,100.0,,,,0.0
2023-11-09,69900.0,70800.0,69600.0,70300.0,69342.882813,12301373,,,0.0,,,,100.0,
2023-11-16,72500.0,73000.0,72300.0,72800.0,71808.84375,15860451,,,,0.0,,,,100.0
2023-11-21,73100.0,73400.0,72700.0,72800.0,71808.84375,9712881,,,,0.0,,,,100.0
2023-11-23,73000.0,73200.0,72200.0,72400.0,71414.289063,6775614,,,,0.0,,,,100.0
2023-11-30,72700.0,72800.0,72200.0,72800.0,71808.84375,15783714,,,,0.0,,,,100.0
2023-12-20,74200.0,74900.0,73800.0,74800.0,73781.609375,16870156,,100.0,,,,0.0,,
2023-12-28,77700.0,78500.0,77500.0,78500.0,77797.890625,17797536,0.0,,,,100.0,,,
2024-01-02,78200.0,79800.0,78200.0,79600.0,78888.054688,17142847,,,,0.0,,,,100.0
2024-01-03,78500.0,78800.0,77000.0,77000.0,76311.304688,21753644,,0.0,,0.0,,100.0,,100.0
2024-01-04,76100.0,77300.0,76100.0,76600.0,75914.882813,15324439,,,,0.0,,,,100.0
2024-01-05,76700.0,77100.0,76400.0,76600.0,75914.882813,11304316,0.0,,,,100.0,,,
2024-01-08,77000.0,77500.0,76400.0,76500.0,75815.78125,11088724,,,,33.33333333333333,,,,66.66666666666666
2024-01-09,77400.0,77700.0,74300.0,74700.0,74031.875,26019249,,,,0.0,,,,100.0
2024-01-10,75000.0,75200.0,73200.0,73600.0,72941.710938,20259529,,,,0.0,,,,100.0
