Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2023-09-06,329.0,329.0,323.200012,327.600006,324.794373,16488562.0,,,,0.0,,,,100.0
2023-09-07,326.600006,327.200012,320.200012,321.600006,318.845734,16724228.0,,,,0.0,,,,100.0
2023-10-19,295.399994,297.600006,291.200012,291.200012,288.706116,17216427.0,,0.0,,,,100.0,,
2023-11-10,304.600006,304.600006,301.200012,302.799988,300.206726,9871831.0,,100.0,,,,0.0,,
2023-11-15,316.600006,323.600006,314.0,322.600006,319.837189,32454690.0,,,,0.0,,,,100.0
2023-11-16,330.0,330.0,316.200012,324.799988,322.018311,35296026.0,,100.0,,,,0.0,,
2023-12-07,309.0,311.200012,304.0,307.799988,305.16391,13703651.0,,,,0.0,,,,100.0
2023-12-11,300.799988,308.600006,298.399994,307.200012,304.569092,18402157.0,,,,0.0,,,,100.0
2023-12-13,309.600006,310.799988,304.399994,307.0,304.370789,14145125.0,0.0,,,,100.0,,,
2023-12-18,309.600006,312.600006,309.600006,311.600006,308.931396,12094993.0,,,,0.0,,,,100.0
2023-12-22,317.0,317.0,263.600006,274.0,271.653412,147014902.0,,100.0,,100.0,,0.0,,0.0
2023-12-27,282.200012,291.0,282.200012,285.0,282.559204,64471032.0,,,,100.0,,,,0.0
2024-01-09,286.0,289.200012,283.399994,283.600006,281.171204,16927478.0,,,,100.0,,,,0.0
2024-01-15,290.0,293.799988,287.600006,289.399994,286.921509,16334371.0,,,,100.0,,,,0.0
2024-01-19,275.0,282.600006,268.200012,271.200012,268.87738,26897479.0,,,,0.0,,,,100.0
2024-01-23,266.799988,278.200012,263.200012,272.0,269.670532,35610787.0,,,,0.0,,,,100.0
2024-01-25,285.0,292.0,280.799988,290.799988,288.309509,34160783.0,,,,100.0,,,,0.0
2024-01-29,286.0,288.399994,279.399994,282.0,279.5849,20159014.0,,0.0,,,,100.0,,
2024-01-30,277.200012,280.0,273.0,273.799988,271.455109,21505998.0,,,100.0,100.0,,,0.0,0.0
2024-02-01,270.0,277.799988,268.0,271.600006,269.273956,17329472.0,,,,50.0,,,,50.0
2024-02-05,278.399994,283.399994,273.799988,279.600006,277.205444,20456590.0,,,,0.0,,,,100.0
2024-03-05,270.200012,273.200012,266.200012,268.200012,265.903076,26055083.0,,,,0.0,,,,100.0
2024-03-06,266.0,277.0,265.799988,274.600006,272.24826,23289346.0,,0.0,,,,100.0,,
2024-03-14,289.399994,294.0,286.799988,289.200012,286.723236,14227432.0,,,,0.0,,,,100.0
2024-03-15,283.0,286.200012,279.600006,283.799988,281.369446,29183023.0,,0.0,,,,100.0,,
2024-03-20,285.399994,290.200012,283.0,288.799988,286.32663,15622235.0,,100.0,0.0,100.0,,0.0,100.0,0.0
2024-03-21,295.200012,298.200012,289.600006,291.200012,288.706116,36868686.0,100.0,,,0.0,0.0,,,100.0
2024-03-26,286.0,300.600006,286.0,299.399994,296.835876,33998571.0,,,,100.0,,,,0.0
2024-04-02,309.0,312.399994,307.799988,309.200012,306.551941,26561604.0,,,,0.0,,,,100.0
2024-04-03,312.0,312.0,306.399994,308.399994,305.758789,19696947.0,,,,0.0,,,,100.0
2024-04-05,309.600006,311.600006,304.399994,310.0,307.345093,13582369.0,,,100.0,,,,0.0,
2024-04-12,314.0,318.0,309.399994,309.600006,306.948517,23031342.0,,,,0.0,,,,100.0
2024-04-17,301.799988,304.0,297.799988,300.799988,298.223877,14410544.0,,,,0.0,,,,100.0
2024-04-18,302.200012,308.799988,298.600006,304.399994,301.79303,19058907.0,,,,0.0,,,,100.0
2024-04-22,308.0,322.600006,306.799988,320.399994,317.656006,41133325.0,,,,0.0,,,,100.0
2024-04-23,326.0,333.600006,325.200012,332.399994,329.553253,43821652.0,,,,0.0,,,,100.0
2024-04-25,340.200012,346.399994,336.399994,339.399994,336.493286,27727556.0,,,,0.0,,,,100.0
2024-04-26,340.0,351.799988,340.0,348.399994,345.416229,29599531.0,,,,0.0,,,,100.0
2024-04-29,348.399994,354.799988,345.200012,347.600006,344.623077,25416523.0,,,,0.0,,,,100.0
2024-04-30,349.600006,350.799988,344.0,347.200012,344.226501,15957023.0,,,,0.0,,,,100.0
2024-05-14,381.0,384.799988,378.600006,381.799988,378.530151,21603101.0,,,0.0,80.0,,,100.0,20.0
2024-05-16,400.0,401.0,394.600006,397.0,393.600006,58430778.0,,,,100.0,,,,0.0
2024-05-20,397.0,399.799988,392.799988,395.0,395.0,22331961.0,100.0,,,,0.0,,,
2024-05-23,380.600006,384.0,376.399994,381.799988,381.799988,18323988.0,0.0,,,100.0,100.0,,,0.0
2024-05-27,372.0,377.600006,362.399994,377.399994,377.399994,32132068.0,,,,0.0,,,,100.0
2024-05-28,377.200012,386.0,373.399994,380.200012,380.200012,16614787.0,,,,0.0,,,,100.0
2024-06-03,366.799988,379.0,366.600006,375.0,375.0,28125374.0,,100.0,,0.0,,0.0,,100.0
2024-06-12,373.799988,377.799988,369.600006,370.799988,370.799988,14960058.0,,,,100.0,,,,0.0
2024-06-18,381.399994,383.799988,377.0,377.0,377.0,14278934.0,,,,100.0,,,,0.0
2024-06-24,377.600006,381.0,374.0,380.399994,380.399994,12919565.0,,,,0.0,,,,100.0
2024-06-25,381.799988,385.0,378.600006,382.0,382.0,12789522.0,,,,0.0,,,,100.0
2024-07-02,367.0,376.200012,365.200012,369.200012,369.200012,27266647.0,,,0.0,,,,100.0,
2024-07-09,377.0,382.200012,376.0,381.0,381.0,13024401.0,,0.0,,,,100.0,,
2024-07-11,379.399994,386.0,378.200012,384.799988,384.799988,16590064.0,,,,100.0,,,,0.0
2024-07-19,366.600006,368.399994,363.0,364.0,364.0,23088518.0,,,100.0,,,,0.0,
2024-07-23,375.0,376.399994,366.0,366.200012,366.200012,12104461.0,,0.0,,,,100.0,,
2024-07-29,359.799988,362.0,353.799988,358.200012,358.200012,12872249.0,,,100.0,,,,0.0,
2024-08-13,376.0,380.600006,375.600006,378.600006,378.600006,13590391.0,,,,50.0,,,,50.0
2024-08-14,378.600006,379.399994,369.399994,373.799988,373.799988,18692686.0,,,,40.0,,,,60.0
2024-08-15,366.200012,374.799988,364.200012,368.399994,368.399994,21443850.0,,,,0.0,,,,100.0
2024-08-20,372.799988,373.799988,369.0,370.399994,370.399994,11852608.0,,,,0.0,,,,100.0
