Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2023-08-22,240.0,241.429993,238.669998,240.570007,239.169495,3848700,,100.0,,,,0.0,,
2023-08-24,242.25,243.559998,239.360001,239.470001,238.075897,4570700,,100.0,,,,0.0,,
2023-09-06,245.419998,246.660004,244.210007,246.160004,244.726959,4520300,,,,0.0,,,,100.0
2023-09-13,247.149994,250.059998,246.610001,247.830002,246.387222,5657000,,0.0,,,,100.0,,
2023-09-18,240.940002,245.229996,240.770004,244.660004,243.235687,4771600,,100.0,,,,0.0,,
2023-09-19,245.0,245.119995,241.460007,243.559998,242.14209,4709000,,100.0,,,,0.0,,
2023-09-22,236.75,237.789993,234.880005,235.080002,233.711472,5935500,,100.0,,,,0.0,,
2023-09-25,235.380005,235.470001,232.210007,233.360001,232.001465,5921600,,50.0,,,,50.0,,
2023-09-27,230.259995,230.679993,227.919998,229.5,228.16394,6006700,,0.0,,,,100.0,,
2023-09-28,230.669998,232.539993,229.669998,231.660004,230.311371,4203900,,100.0,100.0,,,0.0,0.0,
2023-10-04,229.479996,231.699997,228.880005,231.220001,229.873932,5430900,,,,0.0,,,,100.0
2023-10-19,237.470001,237.919998,233.410004,233.809998,232.448837,5927400,,0.0,,,,100.0,,
2023-10-31,233.570007,235.720001,232.990005,235.100006,233.731339,4828400,,100.0,,,,0.0,,
2023-11-02,239.910004,243.25,239.199997,243.25,241.833908,6286700,,0.0,,,,100.0,,
2023-11-16,248.589996,249.449997,247.270004,248.570007,247.649033,7051600,,100.0,,,,0.0,,
2023-11-21,250.029999,253.339996,250.029999,252.229996,251.295471,7213700,,100.0,,,,0.0,,
2023-11-28,253.850006,254.149994,251.610001,252.940002,252.002838,5234900,,0.0,,,,100.0,,
2023-11-30,254.25,256.769989,253.169998,256.679993,255.728989,6874700,,100.0,,,,0.0,,
2023-12-04,255.910004,257.390015,254.350006,254.440002,253.497299,5247500,,100.0,,,,0.0,,
2023-12-05,254.190002,254.820007,252.139999,254.610001,253.666656,4199100,,100.0,,0.0,,0.0,,100.0
2023-12-11,255.0,257.630005,255.0,256.519989,255.56958,6479300,,100.0,,,,0.0,,
2023-12-12,257.299988,259.720001,256.399994,259.559998,258.598328,5946600,,100.0,,,,0.0,,
2023-12-22,260.0,261.209991,258.220001,258.429993,257.472504,5111500,,100.0,,,,0.0,,
2023-12-27,259.25,259.769989,258.309998,258.929993,257.970642,4034700,,100.0,,,,0.0,,
2023-12-29,260.570007,261.459991,259.670013,260.350006,259.385406,4074600,,100.0,,,,0.0,,
2024-01-02,259.609985,260.089996,257.670013,258.869995,257.910858,5471000,,,,100.0,,,,0.0
2024-01-05,260.779999,261.459991,258.75,259.690002,258.727844,3748400,,0.0,,,,100.0,,
2024-01-08,260.940002,262.619995,259.950012,262.540009,261.567291,4659000,,100.0,,,,0.0,,
2024-01-18,267.880005,268.779999,266.420013,268.140015,267.146545,6694300,,100.0,,,,0.0,,
2024-01-24,272.570007,272.859985,271.079987,271.649994,270.643524,5021700,,100.0,,,,0.0,,
2024-01-25,271.950012,272.779999,270.799988,272.609985,271.599976,6894900,,0.0,,,,100.0,,
2024-01-29,266.970001,275.070007,266.709991,273.660004,272.646088,6574500,,100.0,,,,0.0,,
2024-02-01,273.390015,277.190002,273.359985,277.049988,276.023499,7065000,,,0.0,,,,100.0,
2024-02-05,277.399994,278.0,275.130005,275.579987,274.55896,4899100,,100.0,,100.0,,0.0,,0.0
2024-02-08,279.540009,279.660004,275.279999,275.779999,275.270569,5833400,,0.0,,,,100.0,,
2024-02-14,276.470001,277.640015,274.709991,277.559998,277.047272,4218400,,100.0,,,,0.0,,
2024-02-15,277.649994,281.119995,277.559998,280.980011,280.460968,4834800,,100.0,,,,0.0,,
2024-02-21,274.630005,276.970001,273.529999,276.76001,276.248749,4771100,,50.0,,,,50.0,,
2024-02-28,282.100006,286.130005,282.079987,285.630005,285.102356,4358800,,0.0,,,,100.0,,
2024-03-01,283.200012,284.910004,282.109985,283.160004,282.636932,3955400,,50.0,,,,50.0,,
2024-03-12,281.309998,284.480011,280.290009,283.920013,283.395538,7988700,,100.0,,,,0.0,,
2024-03-20,287.640015,289.869995,286.720001,289.279999,288.745636,6105000,,100.0,,,,0.0,,
2024-03-21,289.970001,290.959991,287.899994,290.369995,289.833618,5057600,,0.0,,100.0,,100.0,,0.0
2024-03-22,290.0,290.48999,282.890015,283.26001,282.736755,8743000,,0.0,,,,100.0,,
