Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2023-08-24,52.709999,53.076668,52.273335,52.296665,51.747185,14033100,,,,100.0,,,,0.0
2023-09-07,54.0,54.493332,53.830002,54.490002,53.917477,19120800,,,,0.0,,,,100.0
2023-09-19,54.459999,54.593334,54.116669,54.459999,53.887787,14019600,,,,0.0,,,,100.0
2023-09-22,54.076668,54.41,53.973331,54.116669,53.548065,13215000,,,,0.0,,,,100.0
2023-09-26,54.313332,54.513332,54.116669,54.166668,53.597534,14435700,,,,0.0,,,,100.0
2023-09-28,54.0,54.276669,53.863335,54.18,53.610733,11617200,,,,50.0,,,,50.0
2023-09-29,54.343334,54.376667,53.063332,53.310001,52.74987,18842400,,,,100.0,,,,0.0
2023-10-06,52.883331,52.996666,50.549999,52.136665,51.588867,42616200,,100.0,,,,0.0,,
2023-10-11,52.753334,53.163334,52.346668,52.743332,52.189156,12026100,,,,100.0,,,,0.0
2023-10-17,53.580002,53.903332,53.463333,53.806667,53.241322,10893000,0.0,,,0.0,100.0,,,100.0
2023-10-18,53.959999,54.119999,53.573334,53.846668,53.280899,10559100,,,,0.0,,,,100.0
2023-10-30,53.82,54.419998,53.596668,54.34,53.769047,12653700,,,,0.0,,,,100.0
2023-11-01,54.736668,55.126667,54.326668,54.956669,54.379238,14899500,,,,50.0,,,,50.0
2023-11-03,55.293331,55.433334,54.833332,54.886665,54.309967,17240100,,,,0.0,,,,100.0
2023-11-06,54.833332,55.209999,54.689999,54.959999,54.382534,14529000,,,,0.0,,,,100.0
2023-11-07,55.256668,55.536667,55.110001,55.216667,54.636505,15023400,,,,0.0,,,,100.0
2023-11-15,56.126667,56.646667,55.836666,56.593334,55.998711,35769900,,,,100.0,,,,0.0
2023-11-16,52.916668,53.150002,51.833332,52.013332,51.466827,97658700,,100.0,,0.0,,0.0,,100.0
2023-11-22,51.906666,52.016666,51.459999,51.556667,51.014957,26416500,100.0,,,,0.0,,,
2023-12-01,51.793331,51.869999,50.876667,51.446667,50.906113,39273600,,,100.0,,,,0.0,
2023-12-20,51.806667,52.046665,51.206669,51.236668,50.88662,21967800,,,,0.0,,,,100.0
2024-01-04,53.07,53.18,52.496666,52.586666,52.227398,19282500,,,,0.0,,,,100.0
2024-01-09,52.643333,53.113335,52.576668,53.103333,52.740532,23322300,,0.0,,0.0,,100.0,,100.0
