,company,title,link,source,content,publish_date,time,article_type
0,Intel,There is no fix for Intel’s crashing 13th and 14th Gen CPUs — any damage is permanent,https://news.google.com/read/CBMiogFBVV95cUxOcGtOZ3UzWk9ib1A4TGxDT3FPSXlEdU1QeW1ESVRlMjZFUlVTYmk0YWEyVkNUdXNrMDRFSUNnVDlzTFM5M2tLUDZnQ1BfOE9BODJnSm5YMERsU18wb1kyZnBkam44ODAwRUFOZlNxbFZ4VzBrd21TcU1hU0xCV0tiR2FMbktGdnE1TFFhZi1jYmh3M2NWLThPNXVFY1R5U3pOTnc?hl=en-US&gl=US&ceid=US%3Aen,The Verge,,2024-07-26T07:00:00.000Z,Jul 26,regular
1,Intel,New Intel CPU Vulnerability 'Indirector' Exposes Sensitive Data,https://news.google.com/read/CBMigwFBVV95cUxQOElSd2xFQWd1N3paTDBySkJPSjQwWTlhR2VPU21naE1fT29GVjRmaFNqeWY5QkRuRE5nRmJPcjhzdmYxNV9taHJMajVyTWNDZC1BNEhZRVRSOG95ODFtY29fRHVFT2JzajM3U1pLZlk4VF9hWThwdmlEdHZreWFqc3l0WQ?hl=en-US&gl=US&ceid=US%3Aen,The Hacker News,,2024-07-02T07:00:00.000Z,Jul 2,regular
2,Intel,Intel Unveils Meteor Lake Architecture: Intel 4 Heralds the Disaggregated Future of Mobile CPUs,https://news.google.com/read/CBMiywFBVV95cUxOTkphQk5VVVNLWGY1ZlptTXJyc3VMNUV3T2std29oTUJOM19IM2Z5ZEtUdU1rMWxNRElTOGlRTXFLTzA3V1dTLXY5andLUVVaaElTZGprTld5V2k0REh5UmZUZEVTZWt1cktxb3lva1ZGUmJsNXdsUXJLV3BSOVBBZGdiQkc2blNUanFucEdvRTNEZjU4YW52a0k3WjNDTmtpRXhOTGlyU1Fsa3J5UUd3ZGRmcUF1QlItNno0VmVnN2d5VklVZWJWVmJRWQ?hl=en-US&gl=US&ceid=US%3Aen,AnandTech,,2023-09-19T07:00:00.000Z,"Sep 19, 2023",regular
3,Intel,"SoftBank scraps AI chips tie-up plan with Intel, FT reports",https://news.google.com/read/CBMiqAFBVV95cUxQcDIzanhMdE5ObDNYLTdJbTlHc3VaRV9iaXdGelFEMWRLLWZqdjNzdk5nNVZSXzBMWkVjZXN3NkdNY1BjcUFPSy04d1VvOGVXbUJqNGRhZWZwbm5ZR3k3ekd6NjNCQzlmRGoyR1ZsM0lRNFhLNFBnUERLcWlna0xlZkN0VjRjX0FvbWp2WVNzZzJrTzNSQ2c3UVpfV01zVHl3NklVcFR4bGY?hl=en-US&gl=US&ceid=US%3Aen,Reuters,,2024-08-15T07:20:07.000Z,5 days ago,regular
4,Intel,Intel has sold its stake in Arm after a big rally for the chip-design stock,https://news.google.com/read/CBMiugFBVV95cUxNenA2bzZTMVdSa1ByR3hYcTFFc2tQMF9FSHFCVGZZUGE5N3RoYkRkaEd0Q3lGSWJMNUZNX0dUeTkzOEY1ay1IYXd2WWhycExmLUtWSVA2OHVVZmkySkpaVHU2T3EwLUxPNGpsT0p4UlIwVVhkdnpDbmJpWG5zMUpqNWFVMnYyNlpPOXNXdUNDZ0s3dUpTaWY1WUNzcmFwWHRPU3pYSTRpYnFtN0dWVDZVbGRGVTg1Y2EwbEHSAb8BQVVfeXFMUFZNWXpWWF9zbEJUallMYVg2T2UtcWVTek1jSmJQUF9OMFFQMmdtSWxocVRWUlI4bjFUeXFuSEdqNHpXS0M2LVE4SkU1YkQ1emZRdkVTSExjTWVVMTdiTXlJWV9OV3dsOVV4YlBVUFM2S2R5Z2t6ZmVZTUhfeHpTZjhnay1uckFybTNwcVR5THpwWDdXYlRYcFBudzUtYnFDYXg2SEZFdnNKUnQtaklFc0todmMyZ3p5UTJnZjRfUmM?hl=en-US&gl=US&ceid=US%3Aen,MarketWatch,,2024-08-13T19:32:00.000Z,7 days ago,regular
5,Intel,Intel to deliver fix for Raptor Lake CPUs made 'unstable' by voltage snafu,https://news.google.com/read/CBMifkFVX3lxTE5FRnBXLVVVRVc3a2JZeHdzWU82Z2tKMmtsSXI4bzJkbTZUcGxwTEtvR3JHUkxEQ3JkbUprTVA5RHhvcHR6RERyMnFORjN2WTdaZC12T1ZWdTBRZjJnT2J3ZVJzb3BKN2dWb1VqQV9mcFN2QmtGak5CY1pyVHczZ9IBgwFBVV95cUxPWkh1WVlZU0hhVTJlNEJoNk9RY1ZmdFNsdFdyU3JUY1RpcDJudGhVYXhXOTRLd1lNZ1lWNUt2NGRRc1QtNmZobVVMMXItaEt6bWR6YllNLTM2Y1VXemNLeVpLQWpVZ1BmbTZMbjdvSnlkdm5pamhPMWktZ2N4blFxbi1ibw?hl=en-US&gl=US&ceid=US%3Aen,The Register,,2024-07-23T07:00:00.000Z,Jul 23,regular
6,Intel,Will Intel’s AI And Foundry Bets Reverse The Stock’s 38% Slump This Year?,https://news.google.com/read/CBMixwFBVV95cUxPWlFfeU14OXB3el93S1VmU0xhOUZTTFA4a2ZIRkhBUm55MFdjb0tSUV9fekZoVWFFUzRIdDdrdzAxcXBiRXg0cEJLMldRTVVZY1BOZ1lKdVpRQVdlZjlCbV92aGUxMTFKZ2RXOXJ1NHFudGhIN3dMVmVURVdlRTQ4Mml2cG4zazY0Ym9DbVZXVWhCUy1MMHUyN0d0bUJfMkQyams1T29WUXdIRC05VXZ0NXBLbjl4Z2p6U0NaSXc5THBlOE04aE1Z?hl=en-US&gl=US&ceid=US%3Aen,Forbes,,2024-07-02T07:00:00.000Z,Jul 2,regular
7,Intel,Intel’s CEO on Turning Skeptics Into Believers,https://news.google.com/read/CBMiRkFVX3lxTE1jd2hldl9FWU55UlVfZUlKVzhkazhTNmZ2a1pOYW4tcEZhRGQ3THRIeElJRG9jWnZRMmpGdTh1c3laMHhHdEE?hl=en-US&gl=US&ceid=US%3Aen,TIME,,2024-05-30T07:00:00.000Z,May 30,regular
8,Intel,SoftBank courts TSMC for AI chip project after talks with Intel fell apart - report,https://news.google.com/read/CBMixgFBVV95cUxQcW1tRktnbUVjNU5UN1c0VUF0UnJKd29QclFHczFHTzRiNE1PMmNHcGJxYW9Nd0hOblpyc3RRYUwyNlhpSEZFTU1Yb3FodjRTd2Z1YWlsVlh4bnlVVmdvYWNwclFkLVhuYUZCSlBuMnljOGI2ZEQ0VFVhaHFMc0RKeUVsQWk0M0JjczJ6elJ4WDh6dWpqQ2JOOGx1SW9ySFVWd1RXUFBjckp5UnJsQndlOHVRcXRtcjEwZlVDNUNyT2F5MW91MFE?hl=en-US&gl=US&ceid=US%3Aen,Data Center Dynamics,,2024-08-16T12:19:42.000Z,4 days ago,regular
9,Intel,"Intel’s CPU branding was already confusing, and today’s new CPUs made it worse",https://news.google.com/read/CBMiuAFBVV95cUxOckJZLWJuS0RzVngzR1ZtanE2VWhuTzNvSnhESmo1TGNiQUY5bktlaWprRGV1WHJyWDZ0YW1RQnpvSVdyZi1lSzZoV291bGU3OHZuZ1Yzbmw5V0l1U3FrbE5ORUROdW9iNGdvYlkzRE9mMVA3NUxndmFCTjMwRkswbHdSaEpHXzlkT2pRd1JfcTZ1VTBnUDZFWnR0Wk1POG40Rkh0cTRGam5iTlV3UVRpTzluQmJQU1I1?hl=en-US&gl=US&ceid=US%3Aen,Ars Technica,,2024-01-08T08:00:00.000Z,Jan 8,regular
10,Intel,Intel 18A Advanced Packaging is Key to Tech Leadership,https://news.google.com/read/CBMihgFBVV95cUxNS0dIM3FBN3l3S2UzY1dremlFLWtYQUZpRnVqb09VVjBEaG9iRXVtNm9yZk1rMEJfc0dEXzBZU0twRnpzeHlCVjZTdFY0UmpWdzl3bktEc2dYblFISHFFQXgxOU01WWNvTmlpVURNRDRiNkRjT3FiQzFUczNyU0xpMEU2YVUwQQ?hl=en-US&gl=US&ceid=US%3Aen,EE Times,,2024-08-13T12:01:29.000Z,7 days ago,regular
11,Intel,Intel invests $10.5m in data center tech at Folsom Campus in California,https://news.google.com/read/CBMiswFBVV95cUxQWnA2cEtCQndiLS1iOERGbGdEQ00yVDhjc1pVT0psZ0VDdWVMZEhoNnJYb0w1NmhQb1FqVVhkOUxJaXFPVzNfczBCYUFDNlIwU0pIMld5TVlOQ19ieUhBYTJkWGxhV0laRHZGUE5fZ1o2c0tSTDIzT2t6anBaYnA4UFR0UTQ1ZEpkRmtlTG1FRkJKM0xWYjZ1eUJod25zbkpNbVhsaWpSLVFNZlZTTjJUSkQ4Yw?hl=en-US&gl=US&ceid=US%3Aen,Data Center Dynamics,,2024-06-01T07:00:00.000Z,Jun 1,regular
12,Intel,Intel's latest AI chip is a direct shot at Nvidia's moneymaker,https://news.google.com/read/CBMiqgFBVV95cUxOb0QxUGZ2VF83UkJTa0xwaTFiR0lEeWRTMXpHZk0wald3T0lSLW9xdXBiU0lrZlV3VDBQNDM4eXV5eFhhdllFV1hhUGpoQUFFZE9aREtVd2g2c1ZBaURKUUxoTTA0RXlYbHctY3ItQmdTOGZUVXRMUDlBYTlxVnUydlQ0U1UwY1FySXkweElfYU1OVDl5bGlLaTF6aHB0NHdKM2JFR01nVTNzQQ?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Finance,,2024-04-09T07:00:00.000Z,Apr 9,regular
13,Intel,Intel prepares for $100 billion spending spree across four US states,https://news.google.com/read/CBMiqgFBVV95cUxOYVNhVTdvQWs2a3JnVVlLbndCM3F5LVpTV1dGQTVlb1hCWnB1MjF3TndjSEhKM2JoLXpjbVhMbDlGUjVWNnlORVJsbnlWbWFYUlh6bWZjVlJueWJJNTFkdHcyd1d5MEhCR2Q2b2RvQUZnaEVmYW43NDdPTkJ0VjFhRW5WUFUxTGttZm1wS2NiWlBKWXJWR3EyR0h5M0VITFpoV0syR3d3eW1Zdw?hl=en-US&gl=US&ceid=US%3Aen,Reuters,,2024-03-20T07:00:00.000Z,Mar 20,regular
14,Intel,Intel Receives $8.5 Billion in Grants to Build Chip Plants,https://news.google.com/read/CBMifkFVX3lxTE1zVlRaN21BNFByMVlraGhCMTNZQXRDUmJONnJUWDg2SmxUUzRrdXdTUndKRmhqU2NKeGQzNkpjdkliVVF5YXREVFczVUFtSzk1anR4TEFvS0doZEZ3dkhkc2tDSFZqT0diZVVkeXhIa29KYThyeUg0cXBGV1kwUQ?hl=en-US&gl=US&ceid=US%3Aen,The New York Times,,2024-03-20T07:00:00.000Z,Mar 20,regular
15,Intel,Intel Is Getting Closer To Staging Its Comeback,https://news.google.com/read/CBMiiwFBVV95cUxPZzhqWGJ2a3VFMV8yM2ozUUxCQWcxM0NFREtXR3g2aXRQWWdYT1RaSTYyOEdvR2Z2alhPSENnb1NZOUFHSFRjV1RjLXBOWjBWejJpZEs0SDlLblpGb2N3aUNjY3VyY0hENHctRk5fc2Y3UGxXT1VHLXVud1Z3dGt6cDhzQlA0Wmd0UDRr?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Finance,,2024-07-09T07:00:00.000Z,Jul 9,regular
16,Intel,Eight things we learned from Intel’s Innovation keynote,https://news.google.com/read/CBMirwFBVV95cUxNZjRpdng2WDczSjNNQkstWXNZTndYZlcwWVVfTlVqbmhSM0NleGgwMWw1U0I1YURsY1hNYi1PYmI1cHJmOGNWU0JocWdGNmdpMzlZUk5DOENBd2NwVFN5ZURWT3BTVlpJa2w1QmdFNTRrMjJvRzhGd2NISnBJeFI2YzdaUHZVcVUzQkwxLUlEQm1aQXZjNWlnczRoZWFsOHlyWjczS3RMM3E4eHIzQ0dz?hl=en-US&gl=US&ceid=US%3Aen,The Verge,,2023-09-21T07:00:00.000Z,"Sep 21, 2023",regular
17,Intel,Intel Teases Lunar Lake CPU Ahead of Computex: Most Power Efficient x86 Chip Yet,https://news.google.com/read/CBMirwFBVV95cUxPdUo0cFB3T2hKbGlqRVZ4MFhPdWdqM1AtVmJ2bjlsYXAyNUlVUGUzUnlLRF9uZXVISDN5c3JvWTJoMncya0pCcHVzSEdkNzNHbUVmcjhLYy02N3pEOHVRMW1ZUzFWVnhNQ00zN3pXZkRKNWZkRU9ZcnBZZ1BWaXpnVl9VQ3BjOTFJejZkRHFrZVNPYlpILUtiSEpwS0gtX3NrYTdoUk44MkxQNVUwZzZV?hl=en-US&gl=US&ceid=US%3Aen,AnandTech,,2024-05-20T07:00:00.000Z,May 20,regular
18,Intel,Israel grants Intel $3.2 billion for new $25 billion chip plant,https://news.google.com/read/CBMiuAFBVV95cUxOc092WmplcXhMODRFS3VwbC1PMnlzWVI1TmRLQ0pIdHpmMF9fYmxBYWR3Q2RkcEwyS1VNOHI3anZ0S2RZYW1iSkpBU0ZwTnQzTHdwSW5SNXo4cTl3REc1TUZBakV6RzJQYlhQVjJ2elQ0dzFkZzhCaUxqYUFBeFZTTUlER0NMOWJ1Z0FPckpTS0xvTmpDNm5BRUVtb0VKTmZzdVZGSjBUNWRHQ2hvWVZGeTQ1WU01Y18z?hl=en-US&gl=US&ceid=US%3Aen,Reuters,,2023-12-26T08:00:00.000Z,"Dec 26, 2023",regular
19,Intel,Intel is sued by Jewish fired employee over ex-supervisor's alleged antisemitism,https://news.google.com/read/CBMihAFBVV95cUxQR2E0V1RJN0hyLU5IRVpQSWhpVldjdE4yOGx5bzUteUx5Qkw5NlIyUDV4dmFsRVd0VV9pY25sSDB2bklXVUlWRXUyTFFlVkNXcXFwcXZPV1ZFdUJmcTZrZjA0ejdHRzVCdl8yYUtwMklKVXpaaWpsMTNXYXlBZUVsT2tYT18?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Finance,,2024-08-13T18:33:04.000Z,7 days ago,regular
20,Intel,Why Intel Stock Surged Today,https://news.google.com/read/CBMif0FVX3lxTE93ZXlxTGxiR0RncUJrZHZxcTAybHJJNUtpWGpmMk1Kc1lvY0ZQY0hWNHlYM01kbTFjVGVoVXRXUFRLQ2ZjTWpBTW1WUUZFT3NlczJlclIzVmRMem41ZmRSQ3FjZlNmSG9OSElDanNzNUN1ZTB1Q2RsbDN0ZExBVms?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Finance,,2024-07-09T07:00:00.000Z,Jul 9,regular
21,Intel,"Nearly 20,000 Intel Employees Are Heading For The Exits: How Salaries Stack Up Against Nvidia, OpenAI, Microsoft And More",https://news.google.com/read/CBMigAFBVV95cUxPWjRKQXZIckJxdFpjdW1Lb0RhSEdzT1dNRWwyanBRYjZ1Y3BlZGxjaExlQ3F6QTV5YUZWczBZMmdWRUxzNnc3SlB4OTBTM09QUmdlUzRqbUxuMzNvTjNPRlBOaXBqVXNHQUZOMFlFaHlUdlVQU3dNb0ROQ3BtNlNiZQ?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Finance,,2024-08-10T07:00:00.000Z,10 days ago,regular
22,Intel,Intel trims more jobs amid ongoing cost cuts,https://news.google.com/read/CBMingFBVV95cUxQWlJ3WEVvSjg5eXdxZUpnT2xjRklfN1RQRXQtLVBFanloZm81TnRvVzBEVi1LeXZlcG5KZFlOVEtsdmlaY1dpVERlci1TM1c3d3NJRXZwTEU5TWRRalRsaXpXaWk1Q18wYndOTjZXQXlSd0swWjlpb29tZUdweGJwTkxHNk9iMk10YWowdDhxZ2pETTBqRklGOUxxNmhQQdIBsgFBVV95cUxPa1NCOEZHM0NtZlQzMVZiYVBjVmMtWG0xUXVsY19kV2Zpa1pUOHFXRTZQRW1LbTFnTll4VGtqUzFhdkk4eWdPaTA3UWJrbExpZWlGeHBlVU9GQlNCM0hOeU5oc1JUcDVJWk1LWE15NXd0TG5kb3AySkpYWENMeUdtZlliOXhJZVR4VmpqUWpqeDJNdkd4eXNYZUNXeG55VEZHQmRPdHlEODZDYlB1WEVBU2Zn?hl=en-US&gl=US&ceid=US%3Aen,OregonLive,,2024-06-20T07:00:00.000Z,Jun 20,regular
23,Intel,Intel spins off FPGAs to focus on core chips and foundries,https://news.google.com/read/CBMipAFBVV95cUxPQ1RVWmJtWko4Q0hZMW9vRkhpNjA2NlJPUENQNktaSHAyNC1UaVBiMWZ3M24tMnZlcnAtVkE4QzNuekR1dFJCaC1KYWdGdktaQUFBRkR2QUlIYXlJc3NSWTJBRC13a1NCMnRlNm5DUmlrNXdIRGNibDFubWpOa1FWVVZTNTBlbG5vc0d1OHpoZHUxQVdfdW1BXzFHNjh4Q1NTX1MtdA?hl=en-US&gl=US&ceid=US%3Aen,Light Reading,,2023-10-04T07:00:00.000Z,"Oct 4, 2023",regular
