,company,title,link,source,content,publish_date,time,article_type
0,Tesla,"Tesla, Volvo Car pause output as Red Sea shipping crisis deepens",https://www.reuters.com/business/autos-transportation/tesla-berlin-suspend-most-production-two-weeks-over-red-sea-supply-gap-2024-01-11/,Reuters,,2024-01-11T08:00:00.000Z,Jan 11,regular
1,Tesla,Review Of 2024 Tesla Model 3 Highland,https://www.forbes.com/sites/larrymagid/2024/03/21/review-of-2024-tesla-model-3-highland/,Forbes,,2024-03-21T07:00:00.000Z,Mar 21,regular
2,Tesla,Exclusive: Tesla scraps low-cost car plans amid fierce Chinese EV competition,https://www.reuters.com/business/autos-transportation/tesla-scraps-low-cost-car-plans-amid-fierce-chinese-ev-competition-2024-04-05/,Reuters,,2024-04-05T07:00:00.000Z,Apr 5,regular
3,Tesla,Tesla blamed drivers for failures of parts it long knew were defective,https://www.reuters.com/investigates/special-report/tesla-musk-steering-suspension/,Reuters,,2023-12-20T08:00:00.000Z,"Dec 20, 2023",regular
4,Tesla,Tesla recalls nearly all vehicles on US roads over lack of Autopilot safeguards,https://www.reuters.com/business/autos-transportation/tesla-update-software-autopilot-control-issue-2-mln-vehicles-nhtsa-2023-12-13/,Reuters,,2023-12-13T08:00:00.000Z,"Dec 13, 2023",regular
5,Tesla,Tesla releases refreshed Model 3 with longer driving range in China,https://www.reuters.com/business/autos-transportation/tesla-releases-refreshed-version-model-3-china-website-2023-09-01/,Reuters,,2023-09-01T07:00:00.000Z,"Sep 1, 2023",regular
6,Tesla,Tesla promises 'more affordable' cars after shelving all-new Model 2,https://www.reuters.com/business/autos-transportation/teslas-quarterly-revenue-falls-first-time-since-2020-2024-04-23/,Reuters,,2024-04-23T07:00:00.000Z,Apr 23,regular
7,Tesla,Focus: Tesla braces for its first trial involving Autopilot fatality,https://www.reuters.com/business/autos-transportation/tesla-braces-its-first-trial-involving-autopilot-fatality-2023-08-28/,Reuters,,2023-08-28T07:00:00.000Z,"Aug 28, 2023",regular
8,Tesla,Tesla reinvents carmaking with quiet breakthrough,https://www.reuters.com/technology/gigacasting-20-tesla-reinvents-carmaking-with-quiet-breakthrough-2023-09-14/,Reuters,,2023-09-14T07:00:00.000Z,"Sep 14, 2023",regular
9,Tesla,"Tesla delivers record Q4 cars, but China's BYD steals top EV spot",https://www.reuters.com/business/autos-transportation/teslas-fourth-quarter-deliveries-beat-estimates-2024-01-02/,Reuters,,2024-01-03T08:00:00.000Z,Jan 3,regular
